V2Codes,Description
S124.,Flail chest
S1240,Closed flail chest
S1241,Open flail chest
SK04.,Traumatic shock
22Q9.,Traumatic wound
S822.,Traumatic amputation of ear
SA8..,Traumatic amputation of limb
SA6..,Traumatic amputation of foot
SA60.,Traumatic unilateral amputation of foot without mention of complication
SA600,"Traumatic amputation, foot"
SA61.,Traumatic unilateral amputation of foot with complication
SA62.,Traumatic bilateral amputation of foot without mention of complication
SA63.,Traumatic bilateral amputation of foot with complication
SA6z.,Traumatic amputation of foot NOS
S95..,Traumatic amputation of thumb
S950.,Traumatic amputation of thumb without mention of complication
S9500,"Traumatic amputation, thumb, through metacarpal"
S9501,"Traumatic amputation, thumb, through metacarpophalangeal joint"
S9502,"Traumatic amputation, thumb, proximal phalanx"
S9503,"Traumatic amputation, thumb, through interphalangeal joint"
S9504,"Traumatic amputation, thumb tip"
S9505,"Traumatic amputation thumb tip, type 1 (pulp only involved)"
S9506,"Traumatic amputation thumb tip, type 2 (pulp and nail loss)"
S9507,"Traumatic amputation thumb tip, type 3 (partial loss of terminal phalanx with corresponding loss of pulp and nail but not involving lunula)"
S9508,"Traumatic amputation thumb tip, type 4 (partial loss of terminal phalanx, pulp and nail including lunula)"
S951.,Traumatic amputation of thumb with complication
S95z.,Traumatic amputation of thumb NOS
SA5..,Traumatic amputation of toe(s)
SA50.,Traumatic amputation of toe(s) without mention of complication
SA500,"Traumatic amputation, lesser toe"
SA501,"Traumatic amputation, greater toe"
SA502,"Traumatic amputation, multiple toes"
SA51.,Traumatic amputation of toe(s) with complication
SA5z.,Traumatic amputation of toe(s) NOS
SA7..,Traumatic amputation of leg(s)
SA70.,"Traumatic unilateral amputation, below knee, without mention of complication"
SA701,"Traumatic amputation, leg"
SA702,"Traumatic amputation, through ankle"
SA71.,"Traumatic unilateral amputation, below knee, with complication"
SA72.,"Traumatic unilateral amputation, above knee, without mention of complication"
SA720,"Traumatic amputation, through knee"
SA721,"Traumatic amputation, through thigh"
SA722,"Traumatic amputation, through hip"
SA73.,"Traumatic unilateral amputation, above knee, with complication"
SA74.,"Traumatic unilateral amputation of leg unspecified, without mention of complication"
SA75.,"Traumatic unilateral amputation of leg unspecified, with complication"
SA76.,"Traumatic bilateral amputation of leg, without mention of complication"
SA78.,Traumatic amputation at level between hip and knee
SA7X.,"Traumatic amputation of lower leg, level unspecified"
SA7z.,Traumatic amputation of leg NOS
S96..,Traumatic amputation of finger(s)
S960.,Traumatic amputation of finger without mention of complication
S9600,"Traumatic amputation, finger, through metacarpophalangeal joint"
S9601,"Traumatic amputation, finger, proximal phalanx"
