CTV3Codes,Description
x01Du,Chlorphenamine
c841.,Chlorphenamine maleate 4mg tablet
c84E.,ALLERCALM 4mg tablets
c84D.,Allergy Relief Antihistamine 4mg tablet
x00ez,Calimal 4mg tablet
c842.,Alunex 4mg tablet
c84C.,Hayleve 4mg tablet
c843.,Piriton 4mg tablet
c847.,Pollenase Antihistamine 4mg tablet
c84B.,Vantage Antihistamine 4mg tablet
c84x.,Chlorpheniramine 12mg m/r tablet
c844.,Piriton 12mg m/r tablet
c84y.,Chlorphenamine maleate 2mg/5mL syrup
c845.,Piriton 2mg/5mL syrup
c84v.,Chlorphenamine maleate 2mg/5mL s/f oral solution
c84A.,Allerief 2mg/5mL s/f oral solution
c84w.,Chlorphenamine maleate 2mg/5mL sugar free syrup
c849.,Pollenase Allergy Syrup 2mg/5mL sugar free syrup
c848.,Rhino-syrup Allergy 2mg/5mL sugar free syrup
c84z.,Chlorphenamine maleate 10mg/1mL injection
c846.,Piriject 10mg/1mL injection
c84..,Chlorpheniramine maleate
