CTV3Codes,Description
XM07I,Paraesthesia
XaINq,Transient paraesthesia
XaBtl,Paraesthesia of upper limb
XaBj9,Paraesthesia of hand
XaBjA,Paraesthesia of foot
XSJyq,Burning feet
R0207,[D]Paraesthesia
XaCIS,C/O paraesthesia
29B5.,O/E - paraesthesia present
29B50,O/E - paraesthesia in hands
XM1BB,Sensation of burning of skin
X75qr,Altered sensation of skin
Xa0yT,Dysaesthesia
XaYVw,Scalp dysaesthesia
1B42.,Has prickling sensation
1B43.,Has tingling sensation
1B41.,Pins and needles
Xa71Y,Numbness of upper limb
XaBtR,Numbness of hand
XaBtg,Numbness of finger
XaBth,Numbness of lower limb
XaBti,Numbness of foot
XaBtj,Numbness of toe
XaBu3,Numbness of face
XaCIy,Numbness of limbs
1B44.,Has numbness
XM07D,Skin sensation disturbance
XaX17,Cheiro-oral syndrome
R020.,[D]Skin sensation disturbance
R0201,[D]Burning of skin
R0202,[D]Pricking of skin
R0203,[D]Tingling of skin
R0206,[D]Numbness
R0208,[D]Formication
R020z,[D]Skin sensation disturbance NOS
Xa6mx,Numbness of skin
XM1BF,Tingling of skin
Ryu20,[X]Other and unspecified disturbances of skin sensation
F351.,Meralgia paraesthetica
