ICD10Codes,Description
A02.1,Salmonella sepsis
A20.7,Septicaemic plague
A22.7,Anthrax sepsis
A24.1,Acute and fulminating melioidosis
A26.7,Erysipelothrix sepsis
A32.7,Listerial sepsis
A39.1,Waterhouse-Friderichsen syndrome
A39.2,Acute meningococcaemia
A40,Streptococcal sepsis
A40.0,"Sepsis due to streptococcus, group A"
A40.1,"Sepsis due to streptococcus, group B"
A40.2,"Sepsis due to streptococcus, group D"
A40.3,Sepsis due to Streptococcus pneumoniae
A40.8,Other streptococcal sepsis
A40.9,"Streptococcal sepsis, unspecified"
A41,Other sepsis
A41.0, Sepsis due to Staphylococcus aureus
A41.1, Sepsis due to other specified staphylococcus
A41.2, Sepsis due to unspecified staphylococcus
A41.3, Sepsis due to Haemophilus influenzae
A41.4, Sepsis due to anaerobes
A41.5, Sepsis due to other Gram-negative organisms
A41.8,Other specified sepsis
A41.9," Sepsis, unspecified"
A42.7,Actinomycotic sepsis
A48.3,Toxic shock syndrome
B37.7,Candidal sepsis
O75.3,Other infection during labour
O85,Puerperal sepsis
R57.2,Septic shock
T88.0,Infection following immunization
