CTV3Codes,Description
F26..,Migraine
XaXkr,Migraine induced by oestrogen contraceptive
F261.,Migraine without aura
F261z,Common migraine NOS
F260.,Migraine with aura
X007J,Migraine with typical aura
X007K,Migraine with prolonged aura
F26y0,Hemiplegic migraine
X007L,Familial hemiplegic migraine
X007M,Non-familial hemiplegic migraine
F2623,Basilar migraine
X007N,Migraine aura without headache
F2624,Ophthalmic migraine
X007Q,Alternating hemiplegia of childhood
X007R,Status migrainosus
X007S,Migraine with ischaemic complication
Xa07H,Migraine - menstrual
F2610,Atypical migraine
F262.,Migraine variants
F262z,Migraine variant NOS
F26y.,Other forms of migraine
F26yz,Other forms of migraine NOS
F26y3,Complicated migraine
F26z.,Migraine NOS
Fyu53,[X]Other migraine
1474.,H/O: migraine
XaXkv,H/O migraine with aura
X007O,Retinal migraine
1967.,Abdominal migraine - symptom
