ICD10Codes,Description
G40,Epilepsy
G40.0,Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset
G40.1,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizure
G40.2,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures
G40.3,Generalized idiopathic epilepsy and epileptic syndromes
G40.4,Other generalized epilepsy and epileptic syndromes
G40.5,Special epileptic syndromes
G40.6,"Grand mal seizures, unspecified (with or without petit mal)"
G40.7,"Petit mal, unspecified, without grand mal seizure"
G40.8,Other epilepsy
G40.9,"Epilepsy, unspecified"
G41,Status epilepticus
G41.0,Grand mal status epilepticus
G41.1,Petit mal status epilepticus
G41.2,Complex partial status epilepticus
G41.8,Other status epilepticus
G41.9,"Status epilepticus, unspecified"
F06.8,Other specified mental disorders due to brain damage and dysfunction and to physical disease
G83.8,Other specified paralytic syndromes: Todd paralysis (postepileptic)
F80.3,Acquired aphasia with epilepsy [Landau-Kleffner]
