CTV3Codes,Description
XaE68,Ocular lymphoma
Xa0Sy,B-cell lymphoma
XaYin,Cutaneous follicle centre lymphoma
XaYgm,Primary mediastinal (thymic) large B-cell lymphoma
XaPQD,Mantle cell lymphoma
Xa0T1,Low grade B-cell lymphoma
Xa0T2,Diffuse low grade B-cell lymphoma
XaYii,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue
Xa99l,Malignant lymphoma - small lymphocytic
XaBBN,Malignant lymphoma - lymphoplasmacytic
B6274,Malignant lymphoma - small cleaved cell
XM1FM,"Malignant lymphoma - lymphocytic, intermediate differentiation"
XaBBP,Malignant lymphoma - centrocytic
B6275,Malignant lymphoma - mixed small and large cell
XaBBO,Diffuse malignant lymphoma - centroblastic-centrocytic
Xa0T7,Malignant lymphomatous polyposis
Xa0T8,Mucosa-associated lymphoma
Xa0T9,Monocytoid B-cell lymphoma
Xa0T4,Follicular low grade B-cell lymphoma
Xa0TA,Follicular malignant lymphoma - mixed cell type
XaBBd,"Malignant lymphoma, mixed lymphocytic-histiocytic, nodular"
XaBBf,"Malignant lymphoma, centroblastic-centrocytic, follicular"
B6271,Follicular non-Hodgkin's mixed small cleaved and large cell lymphoma
Xa99w,"Nodular malignant lymphoma, lymphocytic - well differentiated"
Xa99z,"Nodular malignant lymphoma, lymphocytic - intermediate differentiation"
Xa0TD,Follicular malignant lymphoma - small cleaved cell
Xa3En,Intermediate grade B-cell lymphoma
Xa0T3,High grade B-cell lymphoma
Xa0TE,Diffuse high grade B-cell lymphoma
XaZdn,Diffuse large B-cell lymphoma
Xa0TG,Diffuse malignant lymphoma - large cell
Xa0TH,Diffuse malignant lymphoma - large cleaved cell
Xa0TI,Diffuse malignant lymphoma - large non-cleaved cell
Xa99n,Diffuse malignant lymphoma - centroblastic
Xa0TM,Diffuse malignant lymphoma - centroblastic polymorphic
XE2bV,Malignant lymphoma - immunoblastic
B6276,Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
B6273,Diffuse malignant lymphoma - small non-cleaved cell
Xa0TP,Malignant lymphoma - lymphoblastic
B6277,Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma
B602.,Burkitt's lymphoma - disorder
B6020,Burkitt's lymphoma of unspecified site
B6021,"Burkitt's lymphoma of lymph nodes of head, face and neck"
B6022,Burkitt's lymphoma of intrathoracic lymph nodes
B6023,Burkitt's lymphoma of intra-abdominal lymph nodes
B6024,Burkitt's lymphoma of lymph nodes of axilla and upper limb
B6025,Burkitt's lymphoma of lymph nodes of inguinal region and lower limb
B6026,Burkitt's lymphoma of intrapelvic lymph nodes
B6027,Burkitt's lymphoma of spleen
B6028,Burkitt's lymphoma of lymph nodes of multiple sites
B602z,Burkitt's lymphoma NOS
Xa0TS,Large cell anaplastic lymphoma
XaYiL,Anaplastic lymphoma kinase positive anaplastic large cell lymphoma
XaYiI,Anaplastic lymphoma kinase negative anaplastic large cell lymphoma
