CTV3Codes,Description
X40Kt,Hypopituitarism
XE10Q,Panhypopituitarism
X40Kv,Panhypopituitarism - anterior and posterior
X40Kw,Panhypopituitarism - X-linked
C1320,Idiopathic panhypopituitarism
C1321,Post-birth injury panhypopituitarism
C1322,Post-infarction panhypopituitarism
C132y,Other specified panhypopituitarism
C132z,Panhypopituitarism NOS
X40Kx,Sheehan's syndrome
Xa9Ap,Growth hormone deficiency
C1330,Isolated growth hormone deficiency
X40L0,Isolated growth hormone deficiency - autosomal dominant
X40L1,Idiopathic growth hormone deficiency
X40L2,Growth hormone neurosecretory dysfunction
X40L3,Psychosocial growth hormone deficiency
C133z,Pituitary dwarfism NOS
XE10V,Other specified pituitary dwarfism
X40Kz,Ateliotic dwarf
X40L4,Hypogonadotropic hypogonadism
X401I,Kallman's syndrome
X40L6,Idiopathic gonadotrophin deficiency
X40L7,Isolated gonadotrophin deficiency
C1341,FSH - follicle stimulating hormone deficiency
C1342,LH - luteinising hormone deficiency
C1343,TSH deficiency
X40LB,Isolated TSH deficiency
X40LC,Idiopathic TSH deficiency
X40L8,ACTH deficiency
X40L9,Idiopathic ACTH deficiency
XE10W,Isolated ACTH deficiency
X40LA,Steroid suppression of ACTH secretion
C1340,Prolactin deficiency
XE10Y,Central diabetes insipidus
X40LD,Familial central diabetes insipidus
X40LE,Oxytocin deficiency
XE10R,Idiopathic hypopituitarism
X40LF,Iatrogenic hypopituitarism
C1370,Hormone-induced hypopituitarism
C1371,Post-hypophysectomy hypopituitarism
C1372,Post-radiotherapy hypopituitarism
XE10S,Post-birth injury hypopituitarism
XE10T,Post-infarction hypopituitarism
X40LH,Hypopituitarism due to iron overload
X40LI,Pituitary cachexia
X40Ky,Partial hypopituitarism
X40LG,Post-traumatic hypopituitarism
X00FL,Pituitary coma
X40Ku,Hypopituitarism NOS
XE2Q2,Pituitary dwarfism
XE2tA,Post-infective hypopituitarism
X40LK,Pituitary apoplexy
X20Gd,X-linked agammaglobulinaemia with growth hormone deficiency
