CTV3Codes,Description
bi1..,Captopril
bi1v.,Captopril 12.5mg tablet
bi11.,Acepril 12.5mg tablet
bi16.,Capoten 12.5mg tablet
bi1g.,Ecopace 12.5mg tablet
bi1m.,Hyteneze 12.5 tablet
bi1j.,Kaplon 12.5mg tablet
bi1p.,Tensopril 12.5mg tablet
bi1A.,Hypapril 12.5mg tablet
bi1w.,Captopril 25mg tablet
bi12.,Acepril 25mg tablet
bi13.,Acepril 25mg tablets x56
bi17.,Capoten 25mg tablet
bi18.,Capoten 25mg tablets x56
bi1h.,Ecopace 25mg tablet
bi1n.,Hyteneze 25 tablet
bi1k.,Kaplon 25mg tablet
bi1q.,Tensopril 25mg tablet
bi1B.,Hypapril 25mg tablet
bi1z.,Captopril 50mg tablet
bi14.,Acepril 50mg tablet
bi15.,Acepril 50mg tablets x56
bi19.,Capoten 50mg tablet
bi1a.,Capoten 50mg tablets x56
bi1i.,Ecopace 50mg tablet
bi1o.,Hyteneze 50 tablet
bi1l.,Kaplon 50mg tablet
bi1r.,Tensopril 50mg tablet
bi1C.,Hypapril 50mg tablet
bi1y.,Captopril 50mg tablets x56
x001j,Captopril+diuretic
bi1e.,Co-zidocapt 25mg/12.5mg tablet
x00f1,Capozide LS tablet
bi1d.,Capozide LS 25mg tablets x28CP
bi1f.,Co-zidocapt 50mg/25mg tablet
bi1E.,Capto-Co 50mg/25mg tablet
bi1H.,NOYADA 5mg/5mL oral solution
bi1I.,CAPTOPRIL 5mg/5mL oral solution
bi1J.,NOYADA 25mg/5mL oral solution
bi1K.,CAPTOPRIL 25mg/5mL oral solution
bi1s.,CAPOZIDE 50mg/25mg tablets
bi1x.,Captopril 25mg tablets x56
bi1f.,Captopril+hydrochlorothiazide 50mg/25mg tablet
x00eq,Acezide tablet
bi1b.,Acezide 50mg tablets x56
x00f0,Capozide tablet
bi1c.,Capozide 50mg tablets x28
bi1e.,Captopril+hydrochlorothiazide 25mg/12.5mg tablet
bi1D.,Capto-Co 25mg/12.5mg tablet
x01Qe,Enalapril
bi2a.,Enalapril maleate 2.5mg+5mg tablet starter pack
bi29.,Innovace tablet starter pack
bi2t.,Enalapril maleate 2.5mg tablet
bi21.,Innovace 2.5mg tablet
bi2J.,Pralenal 2.5mg tablet
bi2u.,Enalapril maleate 5mg tablet
bi22.,Innovace 5mg tablet
bi23.,Innovace 5mg tablets x28
bi2K.,Pralenal 5mg tablet
x00fw,Renitec 5mg tablet
bi2v.,Enalapril maleate 5mg tablets x28
bi2w.,Enalapril maleate 10mg tablet
bi24.,Innovace 10mg tablet
bi25.,Innovace 10mg tablets x28
bi2L.,Pralenal 10mg tablet
bi2x.,Enalapril maleate 10mg tablets x28
bi2y.,Enalapril maleate 20mg tablet
bi26.,Innovace 20mg tablet
bi27.,Innovace 20mg tablets x28
bi2M.,Pralenal 20mg tablet
bi2z.,Enalapril maleate 20mg tablets x28
bi2A.,Enalapril maleate 2.5mg wafer
bi2E.,Innovace Melt 2.5mg wafer
bi2B.,Enalapril maleate 5mg wafer
bi2F.,Innovace Melt 5mg wafer
bi2C.,Enalapril maleate 10mg wafer
bi2G.,Innovace Melt 10mg wafer
bi2D.,Enalapril maleate 20mg wafer
bi2H.,Innovace Melt 20mg wafer
x0044,Enalapril maleate+diuretic
bi2b.,Enalapril maleate+hydrochlorothiazide 20mg/12.5mg tablet
bi28.,Innozide tablet
bi2..,Enalapril maleate
x01Qf,Fosinopril
bi71.,Fosinopril sodium 10mg tablet
bi73.,Staril 10mg tablet
bi72.,Fosinopril sodium 20mg tablet
bi74.,Staril 20mg tablet
bi7..,Fosinopril sodium
biB..,Imidapril hydrochloride
biBy.,Imidapril hydrochloride 5mg tablet
biB1.,Tanatril 5mg tablet
biBz.,Imidapril hydrochloride 10mg tablet
biB2.,Tanatril 10mg tablet
biBx.,Imidapril hydrochloride 20mg tablet
biB3.,Tanatril 20mg tablet
bi3..,Lisinopril
bi3r.,Lisinopril 2.5mg tablet starter pack
bi3q.,Zestril 2.5mg starter pack
bi31.,Lisinopril 2.5mg tablet
bi35.,Carace 2.5mg tablet
bi3d.,Zestril 2.5mg tablet
bi3c.,Zestril 2.5mg tablets 28CP
bi32.,Lisinopril 5mg tablet
bi37.,Carace 5mg tablet
bi36.,Carace 5mg tablets 28CP
bi3f.,Zestril 5mg tablet
bi3e.,Zestril 5mg tablets 28CP
bi33.,Lisinopril 10mg tablet
bi39.,Carace 10mg tablet
bi38.,Carace 10mg tablets 28CP
bi3h.,Zestril 10mg tablet
bi3g.,Zestril 10mg tablets 28CP
bi34.,Lisinopril 20mg tablet
bi3b.,Carace 20mg tablet
