V2Codes,Description
E2273,Erectile dysfunction
1D1B.,C/O erectile dysfunction
pG...,ERECTILE DYSFUNCTION APPLIANCE
pG1..,ERECTILE DYSFUNCTION VACUUM THERAPY SYSTEM
pG1a.,FARNHURST ELITE PLUS EL108 vacuum therapy system with limiter
pG1b.,FARNHURST ELITE PLUS EG105 vacuum therapy system with gauge
pG1c.,FARNHURST ELITE STANDARD ES101 vacuum therapy system
pG1d.,RAPPORT SM2000 CLASSIC vacuum therapy system
pG1e.,RAPPORT SM2200 PREMIER vacuum therapy system
pG1f.,ACTIVE II 0100 battery operated vacuum therapy system with limiter
pG1g.,IMPULSE 0102 vacuum therapy system with limiter
pG1h.,POS-T-VAC AVP1000 battery operated vacuum therapy system with limiter
pG1i.,POS-T-VAC MVP700 vacuum therapy system with limiter
pG1j.,OSBON ERECAID ESTEEM XX50 vacuum therapy system
pG1k.,OSBON ERECAID CLASSIC XX02 vacuum therapy system
pG1l.,PERFORMANCE PLUS ERECTION INDUCER DEVICE vacuum therapy system
pG1m.,VET EX 001 vacuum therapy system
pG1n.,ERECTEASE S0001 vacuum therapy system
pG1o.,SOMAERECT RESPONSE II 15019 vacuum therapy system
pG1p.,SOMAERECT TOUCH II 15013 vacuum therapy system
pG1q.,SOMACORRECT 15080 vacuum therapy system
pG1r.,SOMACORRECT XTRA 15111 vacuum therapy system
pG1s.,SOMAERECT RESPONSE II XL 15888 vacuum therapy system
pG1t.,ACCORD 0103 vacuum therapy system
pG1u.,REVIVE 0101 battery operated vacuum therapy system+limiter
pG1v.,VAXAID V30 HYDROPUMP VX30PR vacuum therapy system
pG1w.,VED AXIS FTP-VED-AXIS vacuum therapy system
pG2..,ERECTILE DYSFUNCTION CONSTRICTOR RINGS
pG21.,ASSET 0105 erectile dysfunction constrictor rings
pG22.,CONFIDENCE RINGS starter pack erectile dysfunction constrictor rings
pG23.,CONFIDENCE RINGS firm erectile dysfunction constrictor rings
pG24.,CONFIDENCE RINGS regular erectile dysfunction constrictor rings
pG25.,GENESIS RINGS 0110B erectile dysfunction constrictor rings
pG26.,GENESIS RINGS 0110C erectile dysfunction constrictor rings
pG27.,GENESIS RINGS 0110D erectile dysfunction constrictor rings
pG28.,GENESIS RINGS 0110E erectile dysfunction constrictor rings
pG29.,GENESIS RINGS 0110F erectile dysfunction constrictor rings
pG2A.,POS-T-VAC PTV-003/4 size 4 silicone erectile dysfunction constrictor rings
pG2B.,POS-T-VAC PTV-003/5 size 5 silicone erectile dysfunction constrictor rings
pG2C.,POS-T-VAC PTV-003/6 size 6 silicone erectile dysfunction constrictor rings
pG2D.,POS-T-VAC PTV-003/7 size 7 silicone erectile dysfunction constrictor rings
pG2E.,POS-T-VAC PTV-003/8 size 8 silicone erectile dysfunction constrictor rings
pG2F.,POS-T-VAC PTV-003/9 size 9 silicone erectile dysfunction constrictor rings
pG2G.,POS-T-VAC PTV-003/10 size 10 silicone erectile dysfunction constrictor rings
pG2H.,RAPPORT RINGS SYSTEM SM2220 erectile dysfunction constrictor rings
pG2I.,ELITE ECR01 size1-5 erectile dysfunction constrictor rings
pG2J.,ELITE ECR01/1 size1 erectile dysfunction constrictor rings
pG2K.,ELITE ECR01/2 size2 erectile dysfunction constrictor rings
pG2L.,ELITE ECR01/3 size3 erectile dysfunction constrictor rings
pG2M.,ELITE ECR01/4 size4 erectile dysfunction constrictor rings
pG2N.,ELITE ECR01/5 size5 erectile dysfunction constrictor rings
pG2O.,ELITE ECA02 applicator and cone and erectile dysfunction constrictor rings
pG2P.,ERECTASSIST S0101A/25mm erectile dysfunction constrictor rings
pG2Q.,ERECTASSIST S0101B/32mm erectile dysfunction constrictor rings
pG2R.,ERECTASSIST S0101C/40mm erectile dysfunction constrictor rings
pG2S.,ERECTASSIST S0101 set of erectile dysfunction constrictor rings
pG2T.,ERECTASSIST S0007 loading cone and transfer collar and constrictor rings complete system
pG2U.,ASSIST ERECTION MAINTENANCE 15109 system
pG2V.,SUREEASE 15085 erectile dysfunction constrictor rings set
pG2W.,SELECT 15230 erectile dysfunction constrictor rings set
pG2X.,ULTIMATE 15222 erectile dysfunction constrictor rings set
pG2Y.,ULTRA 15444 erectile dysfunction constrictor rings set
pG2Z.,C FLEX VA005 small erectile dysfunction constrictor rings
pG2a.,C FLEX VA005/medium erectile dysfunction constrictor rings
pG2b.,C FLEX VA005/large erectile dysfunction constrictor rings
pG2c.,MENTOR VA006/medium erectile dysfunction constrictor rings
pG2d.,MENTOR VA006/large erectile dysfunction constrictor rings
pG2e.,COMFORT VA007/one size fits all erectile dysfunction constrictor rings
pG2f.,OSBON ERECAID 1676 grey erectile dysf constrictor rings
pG2g.,OSBON ERECAID 1672 beige erectile dysf constrictor rings
pG2h.,OSBON ERECAID 1674 pink erectile dysf constrictor rings
pG2i.,GENESIS 013H-3/size 3 erectile dysfunction constrictor rings
pG2j.,GENESIS 013H-4/size 4 erectile dysfunction constrictor rings
pG2k.,GENESIS 013H-5/size 5 erectile dysfunction constrictor rings
pG2l.,GENESIS 013H-6/size 6 erectile dysfunction constrictor rings
pG2m.,GENESIS 013H-7/size 7 erectile dysfunction constrictor rings
pG2n.,GENESIS 013H-8/size 8 erectile dysfunction constrictor rings
pG2o.,GENESIS 013H-9/size 9 erectile dysfunction constrictor rings
pG2p.,VAXAID 20mm/VSER20 erectile dysfunction constrictor rings
pG2q.,VAXAID 24mm/VSER24 erectile dysfunction constrictor rings
pG2r.,VAXAID 28mm/VSER28 erectile dysfunction constrictor rings
pG2s.,VAXAID 32mm/VSER32 erectile dysfunction constrictor rings
pG2t.,VAXAID 36mm/VSER36 erectile dysfunction constrictor rings
pG2u.,VAXAID 40mm/VSER40 erectile dysfunction constrictor rings
pG2v.,VAXAID VPER1 erectile dysfunction constrictor ring set
pG2w.,VAXAID VPER2 erectile dysfunction constrictor ring set
pG2x.,VAXAID VPER3 erectile dysfunction constrictor ring set
pG2y.,VED AXIS FTP-44003-4-001 size 4 erec dysf constrictor rings
pG2z.,VED AXIS FTP-44003-6-001 size 6 erec dysf constrictor rings
pG3..,ERECTILE DYSFUNCTION SYSTEM ACCESSORIES
pG31.,VED AXIS SENSATION SEAL FTP-001-2-SS size 2 seal for vac sys
pG32.,VED AXIS SENSATION SEAL FTP-001-3-SS size 3 seal for vac sys
pG33.,VED AXIS FIRMA BAND FTP-001-0-FB band for vacuum therapy sys
8HTj.,Referral to erectile dysfunction clinic
K27y7,Erectile dysfunction due to diabetes mellitus
7C25F,Operations on penis for erectile dysfunction NEC
8BB4.,Erectile dysfunction unresponsive to phosphodiesterase-5 inhibitor
E2273,Impotence
Eu522,[X]Psychogenic impotence
K27y1,Impotence of organic origin
7A6G0,Revascularisation for impotence
7A6G5,Ligation of penile veins for impotence
