CTV3Codes,Description
NyuB2,[X]Osteoporosis in other disorders classified elsewhere
NyuB1,[X]Other osteoporosis
NyuB0,[X]Other osteoporosis with pathological fracture
NyuB8,[X]Unspecified osteoporosis with pathological fracture
X70At,Adult idiopathic generalised osteoporosis
XaD2s,Collapse of cervical vertebra due to osteoporosis
XaD4J,Collapse of thoracic vertebra due to osteoporosis
XaD4K,Collapse of vertebra due to osteoporosis NOS
X70Az,Disappearing bone disease
N3304,Disuse osteoporosis
N3305,Drug-induced osteoporosis
N3315,Drug-induced osteoporosis with pathological fracture
N3303,Idiopathic generalised osteoporosis
X70As,Idiopathic osteoporosis in pregnancy
N3316,Idiopathic osteoporosis with pathological fracture
X70Au,Juvenile idiopathic generalised osteoporosis
XE1GA,Localised disuse osteoporosis
N3308,Localised osteoporosis - Lequesne
XaIIp,Minimal trauma fracture due to unspecified osteoporosis
N330.,Osteoporosis
XaIP4,Osteoporosis due to corticosteroids
N330A,Osteoporosis in endocrine disorders
N3309,Osteoporosis in multiple myelomatosis
XaC12,Osteoporosis localised to spine
XaISX,Osteoporosis monitoring telephone invitation
N330z,Osteoporosis NOS
N3313,Osteoporosis of disuse with pathological fracture
N331A,Osteoporosis with pathological fracture of cervical vertebrae
N3318,Osteoporosis with pathological fracture of lumbar vertebrae
N3319,Osteoporosis with pathological fracture of thoracic vertebrae
N3300,"Osteoporosis, unspecified"
X70B1,Post-irradiation osteoporosis
N3307,Post-surgical malabsorption osteoporosis
N3302,Postmenopausal osteoporosis
N331B,Postmenopausal osteoporosis with pathological fracture
N3306,Postoophorectomy osteoporosis
N3312,Postoophorectomy osteoporosis with pathological fracture
Xa0AZ,Primary osteoporosis
X70Aw,Regional migrating osteoporosis
Xa1k0,Regional osteoporosis
X70Av,Secondary generalised osteoporosis
X70B0,Secondary localised osteoporosis
N3301,Senile osteoporosis
X70Ax,Transient osteoporosis of hip
X70Ay,Transient osteoporosis of hip in pregnancy
N330B,Vertebral osteoporosis
XaISj,Osteoporosis - no treatment
XaISm,Osteoporosis - exercise advice
XalSi,Osteoporosis treatment changed
XaISg,Osteoporosis treatment started
XaISh,Osteoporosis treatment stopped
XaISn,Osteoporosis - falls prevention
XaISQ,Attends osteoporosis monitoring
XaISI,Osteoporosis - dietary assessment
XaISo,Osteoporosis - treatment response
XaQRT,Bone sparing drug treatment offered for osteoporosis
