CTV3Codes,Description
XabnF,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - work
XabnG,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - home management
XabnH,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - social leisure activities
XabnI,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - private leisure activities
XabnJ,Improving Access to Psychological Therapies programme Work and Social Adjustment Scale - relationships
Xaedk,Self-referral to IAPT (Improving Access to Psychological Therapies) programme
XaeHl,IAPT (Improving Access to Psychological Therapies) low intensity therapy
XaeHm,IAPT (Improving Access to Psychological Therapies) high intensity therapy
XafEw,Signposting to IAPT (Improving Access to Psychological Therapies) service
XaOdd,Improving Access to Psychological Therapies programme inclusion and employment questionnaire
XaOk5,Improving Access to Psychological Therapies programme work and social adjustment scale
XaOkj,Improving Access to Psychological Therapies programme patient experience questionnaire part 2
XaOkQ,Improving Access to Psychological Therapies programme patient experience questionnaire part 1
XaPiJ,IAPT programme phobia scale
XaPvw,Referral to improving access to psychological therapies programme
XaQJ6,Improving Access to Psychological Therapies programme phobia scale - Social situations due to a fear of being embarrassed or making a fool of myself
XaQJ8,Improving Access to Psychological Therapies programme phobia scale - Certain situations because of a fear of having a panic attack or other distressing symptoms
XaQJB,Improving Access to Psychological Therapies programme phobia scale - Certain situations because of a fear of particular objects or activities
