CTV3Codes,Description
bxi..,Atorvastatin
bxi1.,Atorvastatin 10mg tablet
bxi4.,Lipitor 10mg tablet
bxi2.,Atorvastatin 20mg tablet
bxi5.,Lipitor 20mg tablet
bxi3.,Atorvastatin 40mg tablet
bxi6.,Lipitor 40mg tablet
bxiz.,Atorvastatin 80mg tablet
bxi7.,Lipitor 80mg tablet
bxi8.,LIPITOR 10mg chewable tablets
bxi9.,ATORVASTATIN 10mg chewable tablets
bxiA.,LIPITOR 20mg chewable tablets
bxiB.,ATORVASTATIN 20mg chewable tablets
bxiy.,ATORVASTATIN 60mg tablets
x01R3,Pravastatin
bxe5.,Pravastatin sodium 10mg tablet
bxe3.,Lipostat 10mg tablet
bxe6.,Pravastatin sodium 20mg tablet
bxe4.,Lipostat 20mg tablet
bxe7.,Pravastatin sodium 40mg tablet
bxe8.,Lipostat 40mg tablet
bxe..,Pravastatin sodium
bxd..,Simvastatin
x05xL,Ezetimibe+simvastatin
bxdy.,Simvastatin 20mg / ezetimibe 10mg tablet
bxdH.,Inegy 10mg/20mg tablet
bxdx.,Simvastatin 40mg / ezetimibe 10mg tablet
bxdI.,Inegy 10mg/40mg tablet
bxdw.,Simvastatin 80mg / ezetimibe 10mg tablet
bxdJ.,Inegy 10mg/80mg tablet
bxd1.,Simvastatin 10mg tablet
bxdD.,Ranzolont 10mg tablet
bxdA.,Simvador 10mg tablet
bxd7.,Zocor 10mg tablet
bxd3.,Zocor 10mg tablets 28CP
bxdG.,Zocor Heart-Pro 10mg tablet
bxd2.,Simvastatin 20mg tablet
bxdE.,Ranzolont 20mg tablet
bxdB.,Simvador 20mg tablet
bxd8.,Zocor 20mg tablet
bxd4.,Zocor 20mg tablets 28CP
bxd5.,Simvastatin 40mg tablet
bxdF.,Ranzolont 40mg tablet
bxdC.,Simvador 40mg tablet
bxd6.,Zocor 40mg tablet
bxdz.,Simvastatin 80mg tablet
bxd9.,Zocor 80mg tablet
bxdK.,SIMVADOR 80mg tablets
bxdu.,SIMVASTATIN 20mg/5mL oral suspension
bxdv.,SIMVASTATIN 40mg/5mL oral suspension
bxk..,Rosuvastatin
bxkw.,Rosuvastatin 5mg tablet
bxk4.,Crestor 5mg tablet
bxkx.,Rosuvastatin 10mg tablet
bxk1.,Crestor 10mg tablet
bxky.,Rosuvastatin 20mg tablet
bxk2.,Crestor 20mg tablet
bxkz.,Rosuvastatin 40mg tablet
bxk3.,Crestor 40mg tablet
x01R2,Fluvastatin
bxg3.,Fluvastatin 20mg capsule
bxg1.,Lescol 20mg capsule
bxg4.,Fluvastatin 40mg capsule
bxg2.,Lescol 40mg capsule
bxgz.,Fluvastatin 80mg m/r tablet
bxg5.,Lescol XL 80mg m/r tablet
bxg..,Fluvastatin sodium
bxg6.,LUVINSTA XL 80mg m/r tablets
bxg7.,STEFLUVIN XL 80mg m/r tablets
bxg9.,NANDOVAR XL 80mg m/r tablets
bxg8.,DORISIN XL 80mg m/r tablets
bxj..,Cerivastatin
bxj1.,Cerivastatin sodium 100micrograms tablet
bxj4.,Lipobay 100micrograms tablet
bxj2.,Cerivastatin sodium 200micrograms tablet
bxj5.,Lipobay 200micrograms tablet
bxj3.,Cerivastatin sodium 300micrograms tablet
bxj6.,Lipobay 300micrograms tablet
bxj7.,Cerivastatin sodium 400micrograms tablet
bxj8.,Lipobay 400micrograms tablet
bxjz.,Cerivastatin sodium 800micrograms tablet
bxj9.,Lipobay 800micrograms tablet
