CTV3Codes,Description
bl82.,Adalat 10mg capsule
bl81.,Adalat 5mg capsule
x00Tl,Adalat AR 20mg m/r tablet
bl8M.,Adalat LA 20mg m/r tablet
bl8i.,Adalat LA 30mg m/r tablet
bl8j.,Adalat LA 60mg m/r tablet
bl84.,Adalat Retard 10 m/r tablet
bl83.,Adalat Retard 20 m/r tablet
x00Du,Adalate 10mg capsule
x00Tm,Adalate LP 20mg m/r tablet
bll3.,Adipine LA 30 m/r tablet
bll4.,Adipine LA 60 m/r tablet
bl8B.,Adipine MR 10 m/r tablet
bl8A.,Adipine MR 20 m/r tablet
bllc.,Adipine XL 30mg m/r tablet
blld.,Adipine XL 60mg m/r tablet
bl57.,Adizem-60 m/r tablet
bl5C.,Adizem-SR 120mg long acting m/r capsule
bl54.,Adizem-SR 120mg long acting m/r tablet
bl5D.,Adizem-SR 180mg long acting m/r capsule
bl5B.,Adizem-SR 90mg long acting m/r capsule
bl5K.,Adizem-XL 120mg m/r capsule
bl5J.,Adizem-XL 180mg m/r capsule
bljP.,Adizem-XL 200mg m/r capsule
bl5I.,Adizem-XL 240mg m/r capsule
bl5E.,Adizem-XL 300mg long acting m/r capsule
bl5j.,Adizem-XL Plus m/r capsule
blb..,Amlodipine
blb2.,Amlodipine 10mg tablet
blb7.,AMLODIPINE 1mg/mL oral solution
blb8.,AMLODIPINE 2mg/mL oral solution
blb1.,Amlodipine 5mg tablet
Xa5kS,Amlodipine allergy
blb6.,Amlostin 10mg tablet
blb5.,Amlostin 5mg tablet
bl8g.,Angiopine 10mg capsule
bl8G.,Angiopine 40 LA m/r tablet
bl8f.,Angiopine 5mg capsule
bl8P.,Angiopine MR 10mg m/r tablet
bl8m.,Angiopine MR 20mg m/r tablet
bl56.,Angiozem 60mg m/r tablet
bl5m.,Angiozem CR 120mg m/r tablet
bl5k.,Angiozem CR 90mg m/r tablet
bl5S.,Angitil SR 120 m/r capsule
bl5U.,Angitil SR 180 m/r capsule
bl5R.,Angitil SR 90 m/r capsule
bl5x.,Angitil XL 240 m/r capsule
bl5y.,Angitil XL 300 m/r capsule
bb36.,Berkatens 120mg tablet
bb37.,Berkatens 160mg tablet
bb34.,Berkatens 40mg tablet
bb35.,Berkatens 80mg tablet
bljE.,BI-CARZEM SR 120mg m/r capsule
bljC.,BI-CARZEM SR 60mg m/r capsule
bljD.,BI-CARZEM SR 90mg m/r capsule
bljL.,BI-CARZEM XL 240mg m/r capsule
bljK.,BI-CARZEM XL 300mg m/r capsule
bl53.,Britiazim 60mg m/r tablet
blc9.,Cabren 10mg m/r tablet
blc7.,Cabren 2.5mg m/r tablet
blc8.,Cabren 5mg m/r tablet
bl8o.,Calanif 10mg capsule
bl8p.,Calanif 5mg capsule
bl5u.,Calazem 60mg m/r tablet
bll7.,Calchan MR 10mg m/r tablet
bll6.,Calchan MR 20mg m/r tablet
bl52.,Calcicard 60mg tablet
bl5W.,Calcicard CR 120mg m/r tablet
bl5V.,Calcicard CR 90mg m/r tablet
bl8b.,Calcilat 10mg capsule
bl8d.,Calcipine 10mg capsule
