V2Codes,Description
bll3.,*ADIPINE LA 30 m/r tablets
bll4.,*ADIPINE LA 60 m/r tablets
bl57.,*ADIZEM 60mg tablets
bl5j.,*ADIZEM-XL PLUS m/r capsules
blb6.,*AMLOSTIN 10mg tablets
bl8g.,*ANGIOPINE 10mg capsules
bl8G.,*ANGIOPINE 40 LA m/r tablets
bl8f.,*ANGIOPINE 5mg capsules
bl8P.,*ANGIOPINE MR 10mg m/r tablets
bl8m.,*ANGIOPINE MR 20mg tablets
bl5m.,*ANGIOZEM CR 120mg m/r tablets
bl5k.,*ANGIOZEM CR 90mg m/r tablets
bb36.,*BERKATENS 120mg tablets
bb37.,*BERKATENS 160mg tablets
bb34.,*BERKATENS 40mg tablets
bb35.,*BERKATENS 80mg tablets
bl53.,*BRITIAZIM 60mg tablets
bl8o.,*CALANIF 10mg capsules
bl8p.,*CALANIF 5mg capsules
bl5u.,*CALAZEM 60mg m/r tablets
bl52.,*CALCICARD 60mg tablets
bl5W.,*CALCICARD CR 120mg m/r tabs
bl5V.,*CALCICARD CR 90mg m/r tablets
bl8b.,*CALCILAT 10mg capsules
bl8d.,*CALCIPINE 10mg capsules
bl8c.,*CALCIPINE 5mg capsules
bl8H.,*CARDILATE MR 10mg m/r tablets
bl8l.,*CARDILATE MR 20mg m/r tablets
bb3b.,*CORDILOX 160mg tablets
bb38.,*CORDILOX 40mg tablets
bb3c.,*CORDILOX 5mg/2mL injection
bb39.,*CORDILOX 80mg tablets
bl8s.,*CORODAY MR 20mg m/r tablets
bb3L.,*ETHIMIL MR 240 m/r tablets
bb3r.,*GEANGIN 120mg tablets
bb3p.,*GEANGIN 40mg tablets
bb3q.,*GEANGIN 80mg tablets
bb3J.,*HYPANEZE 120 tablets
bb3G.,*HYPANEZE 40 tablets
bb3H.,*HYPANEZE 80 tablets
bl8q.,*HYPOLAR RETARD 20 m/r tablets
bl5T.,*METAZEM 60mg tablets
bl8r.,*NIFEDOTARD 20MR m/r tablets
bl8n.,*NIFELEASE 20mg m/r tablets
bl8h.,*NIFENSAR XL 20mg m/r tablets
bl8D.,*NIMODREL MR 10 m/r tablets
bl8E.,*NIMODREL MR 20 m/r tablets
bl5Y.,*OPTIL 60mg m/r tablets
bb3O.,*RANVERA MR 240mg m/r tablets
bb3f.,*SECURON 120mg tablets
bb3g.,*SECURON 120mg tablets 56CP
bb3i.,*SECURON 160mg tablets
bb3h.,*SECURON 160mg tablets 56CP
bb3d.,*SECURON 40mg tablets
bb3e.,*SECURON 80mg tablets
bl8O.,*SLOFEDIPINE 20mg m/r tablets
bl8C.,*UNIPINE XL 30mg m/r tablets
bl8a.,*VASAD 10mg capsules
bl89.,*VASAD 5mg capsules
bb3K.,*VERAPRESS MR 240 m/r tablets
bl82.,ADALAT 10mg capsules
bl81.,ADALAT 5mg capsules
bl8M.,ADALAT LA 20mg m/r tablets
bl8i.,ADALAT LA 30mg m/r tablets
bl8j.,ADALAT LA 60mg m/r tablets
bl84.,ADALAT RETARD 10mg m/r tablets
bl83.,ADALAT RETARD 20mg m/r tablets
bl87.,ADALAT-IC 200micrograms/2mL injection
bllk.,ADANIF XL 30mg m/r tablets
blll.,ADANIF XL 60mg m/r tablets
bl8B.,ADIPINE MR 10 m/r tablets
bl8A.,ADIPINE MR 20 m/r tablets
bllc.,ADIPINE XL 30mg m/r tablets
blld.,ADIPINE XL 60mg m/r tablets
bl5C.,ADIZEM-SR 120mg m/r capsules
bl54.,ADIZEM-SR 120mg m/r tablets
bl5D.,ADIZEM-SR 180mg m/r capsules
bl5B.,ADIZEM-SR 90mg m/r capsules
bl5K.,ADIZEM-XL 120mg m/r capsules
bl5J.,ADIZEM-XL 180mg m/r capsules
bl5I.,ADIZEM-XL 240mg m/r capsules
bl5E.,ADIZEM-XL 300mg m/r capsules
blb..,AMLODIPINE
blb2.,AMLODIPINE 10mg tablets
blb7.,AMLODIPINE 1mg/mL oral solution
blb8.,AMLODIPINE 2mg/mL oral solution
blb1.,AMLODIPINE 5mg tablets
bl5S.,ANGITIL SR 120 m/r capsules
bl5U.,ANGITIL SR 180 m/r capsules
bl5R.,ANGITIL SR 90 m/r capsules
bl5x.,ANGITIL XL 240 m/r capsules
bl5y.,ANGITIL XL 300 m/r capsules
blc9.,CABREN 10mg m/r tablets
blc7.,CABREN 2.5mg m/r tablets
blc8.,CABREN 5mg m/r tablets
bll7.,CALCHAN MR 10mg m/r tablets
bll6.,CALCHAN MR 20mg m/r tablets
bl71.,CARDENE 20mg capsules
bl72.,CARDENE 30mg capsules
bl73.,CARDENE SR 30mg m/r capsules
bl74.,CARDENE SR 45mg m/r capsules
blcl.,CARDIOPLEN XL 10mg m/r tablets
blcr.,CARDIOPLEN XL 2.5mg m/r tablets
blck.,CARDIOPLEN XL 5mg m/r tablets
bl8k.,CORACTEN SR 10mg m/r capsules
bl8e.,CORACTEN SR 20mg m/r capsules
bl8X.,CORACTEN XL 30mg m/r capsules
bl8Y.,CORACTEN XL 60mg m/r capsules
bb3a.,CORDILOX 120mg tablets
bb3M.,CORDILOX MR 240 m/r tablets
bl5w.,DILCARDIA SR 120mg m/r capsules
bl5l.,DILCARDIA SR 60mg m/r capsules
bl5v.,DILCARDIA SR 90mg m/r capsules
bl5..,DILTIAZEM HYDROCHLORIDE
bl5d.,DILTIAZEM HYDROCHLORIDE 120mg m/r capsules
bl55.,DILTIAZEM HYDROCHLORIDE 120mg m/r tablets
bl5e.,DILTIAZEM HYDROCHLORIDE 180mg m/r capsules
bl5h.,DILTIAZEM HYDROCHLORIDE 200mg m/r capsules
bl5g.,DILTIAZEM HYDROCHLORIDE 240mg m/r capsules
bl5b.,DILTIAZEM HYDROCHLORIDE 300mg m/r capsules
bl5s.,DILTIAZEM HYDROCHLORIDE 360mg m/r capsules
bl5f.,DILTIAZEM HYDROCHLORIDE 60mg m/r capsules
bl5z.,DILTIAZEM HYDROCHLORIDE 60mg m/r tablets
bl5c.,DILTIAZEM HYDROCHLORIDE 90mg m/r capsules
bl5a.,DILTIAZEM HYDROCHLORIDE 90mg m/r tablets
bl5i.,DILTIAZEM HYDROCHLORIDE+HYDROCHLOROTHIAZIDE 150mg/12.5mg m/r capsules
bl5H.,DILZEM SR 120mg m/r capsules
bl5F.,DILZEM SR 60mg m/r capsules
bl5G.,DILZEM SR 90mg m/r capsules
bl5L.,DILZEM-XL 120mg m/r capsules
bl5M.,DILZEM-XL 180mg m/r capsules
bl5N.,DILZEM-XL 240mg m/r capsules
blce.,FELENDIL XL 10mg m/r tablets
blcd.,FELENDIL XL 5mg m/r tablets
blc..,FELODIPINE
blc2.,FELODIPINE 10mg m/r tablets
blc5.,FELODIPINE 2.5mg m/r tablets
blc1.,FELODIPINE 5mg m/r tablets
blch.,FELOGEN XL 10mg m/r tablets
blcc.,FELOGEN XL 5mg m/r tablets
blcb.,FELOTENS XL 10mg m/r tablets
blct.,FELOTENS XL 2.5mg m/r tablets
blca.,FELOTENS XL 5mg m/r tablets
bl8L.,FORTIPINE LA40 m/r tablets
bl8Q.,GENALAT RETARD 10mg m/r tablets
bl8R.,GENALAT RETARD 20mg m/r tablets
bb3B.,HALF SECURON SR 120mg m/r tablets
bb3F.,HALF-SECURON SR 120mg m/r tablets 28CP
blla.,HYPOLAR RETARD 10mg m/r tablets
bll5.,HYPOLAR XL 30 m/r tablets
blb4.,ISTIN 10mg tablets
blb3.,ISTIN 5mg tablets
blcg.,KELOC SR 10mg m/r tablets
blcf.,KELOC SR 5mg m/r tablets
bl5X.,KENTIAZEM 60mg m/r capsules
bll8.,KENTIPINE MR 10mg m/r tablets
bll9.,KENTIPINE MR 20mg m/r tablets
ble..,LACIDIPINE
ble1.,LACIDIPINE 2mg tablets
ble2.,LACIDIPINE 4mg tablets
blh..,LERCANIDIPINE HYDROCHLORIDE
blh1.,LERCANIDIPINE HYDROCHLORIDE 10mg tablets
blh3.,LERCANIDIPINE HYDROCHLORIDE 20mg tablets
ble5.,MOLAP 4mg tablets
ble3.,MOTENS 2mg tablets
ble4.,MOTENS 4mg tablets
blcn.,NEOFEL XL 10mg m/r tablets
blcs.,NEOFEL XL 2.5mg m/r tablets
blcm.,NEOFEL XL 5mg m/r tablets
bl75.,NICARDIPINE 10mg/10mL solution for injection
bl7y.,NICARDIPINE 20mg capsules
bl7z.,NICARDIPINE 30mg capsules
bl7x.,NICARDIPINE 30mg m/r capsules
bl7w.,NICARDIPINE 45mg m/r capsules
bl7..,NICARDIPINE HYDROCHLORIDE
blli.,NIDEF 30mg m/r tablets
bllj.,NIDEF 60mg m/r tablets
bl8..,NIFEDIPINE
bll..,NIFEDIPINE [2]
bl86.,NIFEDIPINE 10mg capsules
bl8u.,NIFEDIPINE 10mg m/r capsules
bl8w.,NIFEDIPINE 10mg m/r tablets
bl8v.,NIFEDIPINE 20mg m/r capsules
bl8z.,NIFEDIPINE 20mg m/r tablets
bl8V.,NIFEDIPINE 30mg m/r capsules
bl8x.,NIFEDIPINE 30mg m/r tablets
bl8F.,NIFEDIPINE 40mg m/r tablets
bl85.,NIFEDIPINE 5mg capsules
bl8W.,NIFEDIPINE 60mg m/r capsules
bl8y.,NIFEDIPINE 60mg m/r tablets
bl88.,NIFEDIPINE-IC 200micrograms/2mL injection
bl8S.,NIFEDIPRESS MR 10 m/r tablets
bl8U.,NIFEDIPRESS MR 20 m/r tablets
bl8t.,NIFOPRESS RETARD 20mg m/r tablets
dt1..,NIMODIPINE
dt11.,NIMODIPINE 200microgram/mL intravenous infusion 50mL
dt13.,NIMODIPINE 30mg tablets
dt15.,NIMODIPINE 50mg/250mL intravenous infusion
bllf.,NIMODREL XL 30mg tablets
blle.,NIMODREL XL 60mg tablets
dt12.,NIMOTOP 200micrograms/mL intravenous infusion 50mL
dt14.,NIMOTOP 30mg tablets
dt16.,NIMOTOP IV 50mg/250mL infusion
bl8T.,NIVATEN RETARD 10mg m/r tablets
bl8Z.,NIVATEN RETARD 20mg m/r tablets
blcp.,PARMID XL 10mg m/r tablets
blco.,PARMID XL 5mg m/r tablets
blcq.,PINEFELD XL 10mg m/r tablets
blc4.,PLENDIL 10mg m/r tablets
blc6.,PLENDIL 2.5mg m/r tablets
blc3.,PLENDIL 5mg m/r tablets
bb3o.,SECURON IV 5mg/2mL injection
