CTV3Codes,Description
b2a..,Methyclothiazide
b2az.,Methyclothiazide 5mg tablet
b2a1.,Enduron 5mg tablet
b21..,Bendroflumethiazide
b211.,Bendroflumethiazide 2.5mg tablet
b213.,Aprinox 2.5mg tablet
b215.,Berkozide 2.5mg tablet
b217.,Centyl 2.5mg tablet
b21A.,Neo-Bendromax 2.5mg tablet
b212.,Bendroflumethiazide 5mg tablet
b214.,Aprinox 5mg tablet
b216.,Berkozide 5mg tablet
b218.,Centyl 5mg tablet
b21B.,Neo-Bendromax 5mg tablet
b219.,Neo-Naclex 5mg tablet
b21a.,Urizide 5mg tablet
b21b.,NEO-NACLEX 2.5mg tablets
b27..,Hydroflumethiazide
b27z.,Hydroflumethiazide 50mg tablet
b271.,Hydrenox 50mg tablet
b22..,Chlorothiazide
b22z.,Chlorothiazide 500mg tablet
b221.,Saluric 500mg tablet
b22y.,Chlorothiazide 250mg/5mL oral suspension
b222.,Diuril 250mg/5mL oral suspension
b26..,Hydrochlorothiazide
b26z.,Hydrochlorothiazide 25mg tablet
b261.,Esidrex 25mg tablet
b263.,HydroSaluric 25mg tablet
b26y.,Hydrochlorothiazide 50mg tablet
b262.,Esidrex 50mg tablet
b264.,HydroSaluric 50mg tablet
b2c..,Polythiazide
b2cz.,Polythiazide 1mg tablet
b2c1.,Nephril 1mg tablet
b25..,Cyclopenthiazide
b25z.,Cyclopenthiazide 500mcg tablet
b251.,Navidrex 500mcg tablet
