V2Codes,Description
141E.,History of hepatitis B
ZV02B,[V]Hepatitis B carrier
9kZ..,Hepatitis B screening positive - enhanced services administration
A702.,Viral hepatitis B with coma
A7020,Acute hepatitis B with delta agent (coinfection) with hepatic coma
A703.,Viral (serum) hepatitis B
A7030,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
A7051,Acute delta-(super)infection of hepatitis B carrier
A7070,Chronic viral hepatitis B with delta-agent
A7071,Chronic viral hepatitis B without delta-agent
A7073,Chronic viral hepatitis B
43B4.,Hepatitis B surface antig +ve
