CTV3Codes,Description
43C3.,HIV positive
X00cZ,HIV-associated retinitis
X70O1,HIV - Human immunodeficiency virus infection wasting syndrome
Xa1k1,HIV-related sclerosing cholangitis
A7892,HIV disease resulting in candidiasis
Xa1k3,HIV-related gut disease - cause unknown
A7895,HIV disease resulting in Kaposi sarcoma
AyuC2,[X]HIV disease resulting in other mycoses
A7896,HIV disease resulting in Burkitt lymphoma
X709a,HIV - Human immunodeficiency virus myopathy
X001h,HIV - Human immunodeficiency virus myelitis
X303J,HIV - Human immunodeficiency virus diarrhoea
X20Q9,Human immunodeficiency virus-associated periodontitis
X00B7,Neuropathy due to human immunodeficiency virus
A7884,Human immunodeficiency virus with neurological disease
A7885,Human immunodeficiency virus infection with secondary clinical infectious disease
A7886,Human immunodeficiency virus with secondary cancers
A788y,Human immunodeficiency virus with other clinical findings
A788z,Acquired human immunodeficiency virus infection syndrome NOS
A789.,Human immunodef virus resulting in other disease
A7890,HIV disease resulting in mycobacterial infection
A7891,HIV disease resulting in cytomegaloviral disease
A7894,HIV disease resulting in multiple infections
A7899,HIV disease resulting in lymphoid interstitial pneumonitis
A7898,HIV disease resulting in multiple malignant neoplasms
A7897,HIV disease resulting in other types of non-Hodgkin's lymphoma
AyuC.,[X]Human immunodeficiency virus disease
AyuC0,[X]HIV disease resulting in other bacterial infections
AyuC1,[X]HIV disease resulting in other viral infections
AyuC4,[X]Hiv disease resulting in other infectious and parasitic diseases
AyuC5,[X]Hiv disease resulting in unspecified infectious and parasitic disease
AyuC6,[X]HIV disease resulting in other non-Hodgkin's lymphoma
AyuC7,"[X]Hiv disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
AyuC8,[X]HIV disease resulting in other malignant neoplasms
AyuC9,[X]HIV disease resulting in unspecified malignant neoplasm
AyuCA,[X]HIV disease resulting in multiple diseases classified elsewhere
AyuCB,"[X]Hiv disease resulting in haematological and immunological abnormalities, not elsewhere classified"
AyuCC,[X]HIV disease resulting in other specified conditions
AyuCD,[X]Unspecified human immunodeficiency virus [HIV] disease
X70O6,HIV - Human immunodeficiency virus neuropathy
X001B,HIV - Human immunodefiency virus encephalitis
X001C,HIV - Human immunodefiency virus leucoencephalopathy
A7893,HIV disease resulting in Pneumocystis carinii pneumonia
Xa0Af,HIV - Congenital human immunodeficiency virus positive status syndrome
A7883,HIV - Human immunodeficiency virus infection constitutional disease
X78Gp,HIV - Human immunodeficiency virus infection classification systems
65QA.,AIDS carrier
Xa3e8,AIDS with viral/chlamydial disease NOS
X003P,Acquired immune deficiency syndrome dementia complex
X70M6,Human immunodeficiency virus infection
A7881,Asymptomatic human immunodeficiency virus infection
A7880,Acute human immunodeficiency virus seroconversion illness
XE0RX,Acquired immune deficiency syndrome
X70O0,Acquired immune deficiency syndrome-related complex
X70O5,Human immunodeficiency viral myelitis
X30IP,Acquired immune deficiency syndrome-related nephropathy
A7882,Human immunodeficiency virus infection with persistent generalised lymphadenopathy
