V2Codes,Description
43C3.,HIV positive
A7892,HIV disease resulting in candidiasis
A788.,Human immunodeficiency virus infection
A7880,Acute human immunodeficiency virus infection
A7881,Asymptomatic human immunodeficiency virus infection
A7882,Human immunodeficiency virus infection with persistent generalised lymphadenopathy
A7883,Human immunodeficiency virus with constitutional disease
A7884,Human immunodeficiency virus with neurological disease
A7885,Human immunodeficiency virus infection with secondary clinical infectious disease
A7886,Human immunodeficiency virus with secondary cancers
A788U,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"
A788V,HIV disease resulting in multiple diseases classified elsewhere
A788W,HIV disease resulting in unspecified malignant neoplasm
A788X,HIV disease resulting in unspecified infectious and parasitic disease
A788y,Human immunodeficiency virus with other clinical findings
A788z,Acquired human immunodeficiency virus infection syndrome NOS
A789A,HIV disease resulting in wasting syndrome
A7895,HIV disease resulting in Kaposi's sarcoma
A7896,HIV disease resulting in Burkitt's lymphoma
A7894,HIV disease resulting in multiple infections
A789.,Human immunodef virus resulting in other disease
A7890,HIV disease resulting in mycobacterial infection
A7891,HIV disease resulting in cytomegaloviral disease
A7893,HIV disease resulting in Pneumocystis carinii pneumonia
A7897,HIV disease resulting in other types of non-Hodgkin's lymphoma
A7898,HIV disease resulting in multiple malignant neoplasms
A7899,HIV disease resulting in lymphoid interstitial pneumonitis
A789X,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
Eu024,[X]Dementia in human immunodef virus [HIV] disease
L179.,"Human immunodeficiency [HIV] disease complicating pregnancy, childbirth and the puerperium"
R109.,[D]Laboratory evidence of human immunodeficiency virus [HIV]
ZV01A,[V]Asymptomatic human immunodeficiency virus infection status
AyuC4,[X]Hiv disease resulting in other infectious and parasitic diseases
