CTV3Codes,Description
A410.,Kuru
A411.,Creutzfeldt-Jakob disease
A4110,NULL
E00..,Senile and presenile organic psychotic conditions (& dementia)
E000.,Uncomplicated senile dementia
E001.,Presenile dementia
E0010,Uncomplicated presenile dementia
E0011,Presenile dementia with delirium
E0012,Presenile dementia with paranoia
E0013,Presenile dementia with depression
E001z,Presenile dementia NOS
E002.,Senile dementia with depressive or paranoid features
E0020,Senile dementia with paranoia
E0021,Senile dementia with depression
E002z,Senile dementia with depressive or paranoid features NOS
E003.,Senile dementia with delirium
E004.,Arteriosclerotic dementia (including [multi infarct dementia])
E0040,Uncomplicated arteriosclerotic dementia
E0041,Arteriosclerotic dementia with delirium
E0042,Arteriosclerotic dementia with paranoia
E0043,Arteriosclerotic dementia with depression
E004z,Arteriosclerotic dementia NOS
E00y.,(Other senile and presenile organic psychoses) or (presbyophrenic psychosis)
E00z.,Senile or presenile psychoses NOS
E012.,Alcoholic dementia: [other] or [NOS]
E0120,Chronic alcoholic brain syndrome
E02y1,Drug-induced dementia
E041.,Dementia in conditions EC
Eu00.,[X]Dementia in Alzheimer's disease
Eu000,NULL
Eu001,NULL
Eu002,"[X]Dementia in Alzheimer's dis, atypical or mixed type"
Eu00z,"[X]Dementia in Alzheimer's disease, unspecified"
Eu01.,NULL
Eu010,NULL
Eu011,[X]Dementia: [multi-infarct] or [predominantly cortical]
Eu012,NULL
Eu013,NULL
Eu01y,[X]Other vascular dementia
Eu01z,"[X]Vascular dementia, unspecified"
Eu02.,[X]Dementia in other diseases classified elsewhere
Eu020,[X]Dementia in Pick's disease
Eu021,[X]Dementia in Creutzfeldt-Jakob disease
Eu022,[X]Dementia in Huntington's disease
Eu023,[X]Dementia in Parkinson's disease
Eu024,NULL
Eu025,NULL
Eu02y,[X]Dementia in other specified diseases classif elsewhere
Eu02z,[X] Dementia: [unspecif] or [presenile NOS (including presenile psychosis NOS)] or [primary degenerative NOS] or [senile NOS (including senile psychosis NOS)] or [senile depressed or paranoid type]
Eu041,[X]Delirium superimposed on dementia
F110.,Alzheimer's disease
F1100,NULL
F1101,NULL
F111.,Pick's disease
F112.,Senile degeneration of brain
F116.,NULL
F11x7,Cerebral degeneration due to Creutzfeldt-Jakob disease
F21y2,Binswanger's disease
Fyu30,[X]Other Alzheimer's disease
X001T,Limbic encephalitis
X002w,Dementia
X002x,Dementia in Alzheimer's disease with early onset
X002y,Familial Alzheimer's disease of early onset
X002z,Non-familial Alzheimer's disease of early onset
X0030,Dementia in Alzheimer's disease with late onset
X0031,Familial Alzheimer's disease of late onset
X0032,Non-familial Alzheimer's disease of late onset
X0033,Focal Alzheimer's disease
X0034,Frontotemporal dementia
X0035,Pick's disease with Pick bodies
X0036,Pick's disease with Pick cells and no Pick bodies
X0037,Frontotemporal degeneration
X0039,Frontal lobe degeneration with motor neurone disease
X003A,Lewy body disease
X003E,Progressive aphasia
X003F,Non-Alzheimer's progressive dysphasia
X003G,Progressive aphasia in Alzheimer's disease
X003H,Argyrophilic brain disease
X003I,Post-traumatic dementia
X003J,Punch drunk syndrome
X003K,Spongiform encephalopathy
X003L,Prion protein disease
X003M,Gerstmann-Straussler-Scheinker syndrome
X003N,Familial fatal insomnia
X003P,Acquired immune deficiency syndrome dementia complex
X003R,Vascular dementia of acute onset
X003T,Subcortical vascular dementia
X003V,Mixed cortical and subcortical vascular dementia
X003W,Semantic dementia
X003X,Patchy dementia
X003Y,Epileptic dementia
X00R2,Senile dementia
X00Rk,Alcoholic dementia NOS
Xa0lH,Multi-infarct dementia
Xa0sC,Frontal lobe degeneration
Xa0sE,Dementia of frontal lobe type
Xa1GB,Cerebral degeneration presenting primarily with dementia
Xa25J,Alcoholic dementia
Xa3ez,Other senile/presenile dementia
XaA1S,New variant of Creutzfeldt-Jakob disease
XabVp,Sporadic Creutzfeldt-Jakob disease
XaE74,Senile dementia of the Lewy body type
XaIKB,Alzheimer's disease with early onset
XaIKC,Alzheimer's disease with late onset
XaKyY,[X]Lewy body dementia
XE1aG,Dementia (& [presenile] or [senile])
XE1Xs,Vascular dementia
XE1Xt,Other senile and presenile organic psychoses
XE1Xu,Other alcoholic dementia
XE1Z6,[X]Unspecified dementia
