CTV3Codes,Description
7B00.,Renal transplant
7B000,Autotransplantation of kidney
7B001,Live donor renal transplant
7B002,Cadaveric renal transplant
7B003,NULL
7B004,NULL
7B005,NULL
7B006,NULL
7B00y,Other specified transplantation of kidney
7B00z,Transplantation of kidney NOS
7B012,Bilateral nephrectomy
7B015,Transplant nephrectomy (& for rejection)
7B063,Exploration of renal transplant
8L50.,Renal transplant planned
G7520,Goodpasture's syndrome
K01..,Nephrotic syndrome
K010.,Nephrotic syndrome with proliferative glomerulonephritis
K011.,Nephrotic syndrome with membranous glomerulonephritis
K012.,Nephrotic syndrome with membranoproliferative glomerulonephritis
K013.,Nephrotic syndrome (& [minimal change glomerulonephritis] or [steroid sensitive])
K014.,"Nephrotic syndrome, minor glomerular abnormality"
K015.,"Nephrotic syndrome, focal and segmental glomerular lesions"
K016.,"Nephrotic syndrome, diffuse membranous glomerulonephritis"
K017.,"Nephrotic syndrome, diffuse mesangial proliferative glomerulonephritis"
K018.,"Nephrotic syndrome, diffuse endocapillary proliferative glomerulonephritis"
K019.,"Nephrotic syndrome, diffuse mesangiocapillary glomerulonephritis"
K01A.,"Nephrotic syndrome, dense deposit disease"
K01B.,"Nephrotic syndrome, diffuse crescentic glomerulonephritis"
K01w.,Congenital nephrotic syndrome
K01w0,Finnish congenital nephrotic syndrome
K01wz,Congenital nephrotic syndrome NOS
K01x.,Nephrotic syndrome in diseases EC
K01x0,Nephrotic syndrome in amyloidosis
K01x1,Nephrotic syndrome in diabetes mellitus
K01x2,Nephrotic syndrome in malaria
K01x3,Nephrotic syndrome in polyarteritis nodosa
K01x4,(Nephrotic syndrome in systemic lupus erythematosus) or (lupus nephritis)
K01xz,Nephrotic syndrome in diseases EC NOS
K01y.,Nephrotic syndrome with other pathological kidney lesions
K01z.,Nephrotic syndrome NOS
K020.,Chronic mesangial proliferative glomerulonephritis
K021.,Membranous glomerulonephritis
K022.,Mesangiocapillary glomerulonephritis
K023.,Chronic rapidly progressive glomerulonephritis
K02y.,Other chronic glomerulonephritis
K02y0,Chronic glomerulonephritis with diseases EC
K02y1,Chronic exudative glomerulonephritis
K02y2,Chronic focal glomerulonephritis
K02y3,Chronic diffuse glomerulonephritis
K02yz,Other chronic glomerulonephritis NOS
K02z.,Chronic glomerulonephritis NOS
K0320,Focal membranoproliferative glomerulonephritis
K0325,Other familial glomerulonephritis
K0326,Berger's IgA or IgG nephropathy
K033.,Rapidly progressive nephritis unspecified
K05..,Renal failure: [chronic] or [end stage]
K07..,Renal sclerosis unspecified
K071.,Renal fibrosis
K072.,Glomerulosclerosis
K07z.,Renal sclerosis NOS
K0A07,"Acute nephritic syndrome, diffuse crescentic glomerulonephritis"
K0A1.,Rapidly progressive nephritic syndrome(?AND/OR [nephrotic syndrome])
K0A10,"Rapidly progressive nephritic syndrome, minor glomerular abnormality"
K0A11,"Rapidly progressive nephritic syndrome, focal and segmental glomerular lesions"
K0A12,"Rapidly progressive nephritic syndrome, diffuse membranous glomerulonephritis"
K0A13,"Rapidly progressive nephritic syndrome, diffuse mesangial proliferative glomerulonephritis"
K0A14,"Rapidly progressive nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis"
K0A15,"Rapidly progressive nephritic syndrome, diffuse mesangiocapillary glomerulonephritis"
K0A16,"Rapidly progressive nephritic syndrome, dense deposit disease"
K0A17,"Rapidly progressive nephritic syndrome, diffuse crescentic glomerulonephritis"
K0A3.,Chronic nephritic syndrome
K0A30,"Chronic nephritic syndrome, minor glomerular abnormality"
K0A31,"Chronic nephritic syndrome, focal and segmental glomerular lesions"
K0A34,"Chronic nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis"
K0A35,"Chronic nephritic syndrome, diffuse mesangiocapillary glomerulonephritis"
K0A36,"Chronic nephritic syndrome, dense deposit disease"
K0A37,"Chronic nephritic syndrome, diffuse crescentic glomerulonephritis"
Kyu21,[X]Other chronic renal failure
SP08.,Transplanted organ complication
SP081,Transplanted organ rejection
SP083,Kidney transplant failure and rejection
SP08z,Transplanted organ complication NOS
TB001,"Transplantation of kidney as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of operation"
