ICD10Codes,Description
I12,Hypertensive renal disease
I12.0,Hypertensive renal disease with renal failure
I12.9,Hypertensive renal disease without renal failure
N00,Acute nephritic syndrome
N00.0,Acute nephritic syndrome : minor glomerular abnormality
N00.1,Acute nephritic syndrome : focal and segmental glomerular lesions
N00.2,Acute nephritic syndrome : diffuse membranous glomerulonephritis
N00.3,Acute nephritic syndrome : diffuse mesangial proliferative glomerulonephritis
N00.4,Acute nephritic syndrome : diffuse endocapillary proliferative glomerulonephritis
N00.5,Acute nephritic syndrome : diffuse mesangiocapillary glomerulonephritis
N00.6,Acute nephritic syndrome : dense deposit disease
N00.7,Acute nephritic syndrome : diffuse crescentic glomerulonephritis
N00.8,Acute nephritic syndrome : other
N00.9,Acute nephritic syndrome : unspecified
N01,Rapidly progressive nephritic syndrome
N01.0,Rapidly progressive nephritic syndrome : minor glomerular abnormality
N01.1,Rapidly progressive nephritic syndrome : focal and segmental glomerular lesions
N01.2,Rapidly progressive nephritic syndrome : diffuse membranous glomerulonephritis
N01.3,Rapidly progressive nephritic syndrome : diffuse mesangial proliferative glomerulonephritis
N01.4,Rapidly progressive nephritic syndrome : diffuse endocapillary proliferative glomerulonephritis
N01.5,Rapidly progressive nephritic syndrome : diffuse mesangiocapillary glomerulonephritis
N01.6,Rapidly progressive nephritic syndrome : dense deposit disease
N01.7,Rapidly progressive nephritic syndrome : diffuse crescentic glomerulonephritis
N01.8,Rapidly progressive nephritic syndrome : other
N01.9,Rapidly progressive nephritic syndrome : unspecified
N02,Recurrent and persistent haematuria
N02.0,Recurrent and persistent haematuria : minor glomerular abnormality
N02.1,Recurrent and persistent haematuria : focal and segmental glomerular lesions
N02.2,Recurrent and persistent haematuria : diffuse membranous glomerulonephritis
N02.3,Recurrent and persistent haematuria : diffuse mesangial proliferative glomerulonephritis
N02.4,Recurrent and persistent haematuria : diffuse endocapillary proliferative glomerulonephritis
N02.5,Recurrent and persistent haematuria : diffuse mesangiocapillary glomerulonephritis
N02.6,Recurrent and persistent haematuria : dense deposit disease
N02.7,Recurrent and persistent haematuria : diffuse crescentic glomerulonephritis
N02.8,Recurrent and persistent haematuria : other
N02.9,Recurrent and persistent haematuria : unspecified
N03,Chronic nephritic syndrome
N03.0,Chronic nephritic syndrome : minor glomerular abnormality
N03.1,Chronic nephritic syndrome : focal and segmental glomerular lesions
N03.2,Chronic nephritic syndrome : diffuse membranous glomerulonephritis
N03.3,Chronic nephritic syndrome : diffuse mesangial proliferative glomerulonephritis
N03.4,Chronic nephritic syndrome : diffuse endocapillary proliferative glomerulonephritis
N03.5,Chronic nephritic syndrome : diffuse mesangiocapillary glomerulonephritis
N03.6,Chronic nephritic syndrome : dense deposit disease
N03.7,Chronic nephritic syndrome : diffuse crescentic glomerulonephritis
N03.8,Chronic nephritic syndrome : other
N03.9,Chronic nephritic syndrome : unspecified
N04,Nephrotic syndrome
N04.0,Nephrotic syndrome : minor glomerular abnormality
N04.1,Nephrotic syndrome : focal and segmental glomerular lesions
N04.2,Nephrotic syndrome : diffuse membranous glomerulonephritis
N04.3,Nephrotic syndrome : diffuse mesangial proliferative glomerulonephritis
N04.4,Nephrotic syndrome : diffuse endocapillary proliferative glomerulonephritis
N04.5,Nephrotic syndrome : diffuse mesangiocapillary glomerulonephritis
N04.6,Nephrotic syndrome : dense deposit disease
N04.7,Nephrotic syndrome : diffuse crescentic glomerulonephritis
N04.8,Nephrotic syndrome : other
N04.9,Nephrotic syndrome : unspecified
N05,Unspecified nephritic syndrome
N05.0,Unspecified nephritic syndrome : minor glomerular abnormality
N05.1,Unspecified nephritic syndrome : focal and segmental glomerular lesions
N05.2,Unspecified nephritic syndrome : diffuse membranous glomerulonephritis
N05.3,Unspecified nephritic syndrome : diffuse mesangial proliferative glomerulonephritis
N05.4,Unspecified nephritic syndrome : diffuse endocapillary proliferative glomerulonephritis
