V2Codes,Description
ej2..,CHLOROQUINE [ANTI-MALARIAL]
ej21.,AVLOCLOR 250mg tablets
ej22.,MALARIVON 80mg/5mL syrup
ej23.,*NIVAQUINE 200mg tablets
ej24.,NIVAQUINE 68mg/5mL syrup
ej25.,*NIVAQUINE 200mg/5mL injection
ej26.,CHLOROQUINE PHOSPHATE 250mg tablets
ej2w.,CHLOROQUINE PHOSPHATE 80mg/5mL syrup
ej2x.,*CHLOROQUINE 200mg tablets
ej2y.,CHLOROQUINE 68mg/5mL syrup
ej2z.,CHLOROQUINE 200mg/5mL injection
ejC..,PROGUANIL HYDROCHLORIDE+CHLOROQUINE PHOSPHATE
ejC1.,PROGUANIL HYDROCHLORIDE tablets+CHLOROQUINE PHOSPHATE tablets 100mg/250mg pack
ejC2.,PALUDRINE tablets+AVLOCLOR tablets 100mg/250mg anti-malarial travel pack
ej1..,*AMODIAQUINE
ej11.,*CAMOQUIN 200mg tablets
ej12.,*AMODIAQUINE 200mg tablets
ej4..,PRIMAQUINE
ej5..,PROGUANIL HYDROCHLORIDE
ej51.,PALUDRINE 100mg tablets
ej5z.,PROGUANIL 100mg tablets
ej7..,QUININE
ej71.,QUININE BISULFATE 300mg tablets
ej72.,QUININE DIHYDROCHL 300mg tablets
ej73.,QUININE HYDROCHLOR 300mg tablets
ej74.,QUININE SULPHATE 125mg tablets
ej75.,QUININE SULPHATE 200mg tablets
ej76.,QUININE SULPHATE 300mg tablets
ej77.,QUININE DIHYDROCHL 300mg injection
ej78.,QUININE DIHYDROCHL 600mg injection
ej8..,MEFLOQUINE HYDROCHLORIDE
ej81.,MEFLOQUINE HYDROCHLORIDE 250mg tablets
ej82.,LARIAM 250mg tablets
ej9..,HALOFANTRINE HYDROCHLORIDE
ej91.,*HALOFANTRINE 250mg tablets
ej92.,*HALFAN 250mg tablets
ejA..,MEPACRINE HYDROCHLORIDE
ejA1.,MEPACRINE HYDROCHLORIDE 100mg tablets
ejB..,ATOVAQUONE+PROGUANIL HYDROCHLORIDE
ej3..,HYDROXYCHLOROQUINE SULPHATE [ANTI MALARIAL]
ej31.,*PLAQUENIL 200mg tablets
ej3z.,HYDROCHLOROQUINE SULPHATE 200mg tablets
ejB1.,ATOVAQUONE+PROGUANIL HYDROCHLORIDE 250mg/100mg tablets
ejB2.,MALARONE tablets
ejB3.,ATOVAQUONE+PROGUANIL HYDROCHLORIDE 62.5mg/25mg tablets
ejB4.,MALARONE PAEDIATRIC tablets
ejB5.,REPRAPOG 250mg/100mg tablets
ejB6.,REPRAPOG 62.5mg/25mg tablets
ejE..,PIPERAQUINE+DIHYDROARTEMISININ
ejE1.,EURARTESIM 320mg/40mg tablets
ejE2.,PIPERAQUINE TETRAPHOSPH+DIHYDROARTEMISININ 320mg/40mg tablet
ef11.,METRONIDAZOLE 200mg tablets
ef12.,METRONIDAZOLE 400mg tablets
ef13.,METRONIDAZOLE 100mg/20mL infusion
ef14.,METRONIDAZOLE 500mg/500mL intravenous infusion
ef15.,METRONIDAZOLE 500mg/100mL infusion
ef16.,METRONIDAZOLE 500mg/100mL infusion bag
ef19.,ELYZOL 500mg/100mL intravenous infusion
ef1A.,METRONIDAZOLE 200mg/5mL suspension
ef1D.,METRONIDAZOLE 500mg tablets
ef1C.,METROVEX 500mg/100mL intravenous infusion bag
ef1c.,FLAGYL 200mg tablets
ef1e.,FLAGYL 100mg/20mL intravenous infusion
ef1d.,FLAGYL 400mg tablets
ef1j.,*FLAGYL S suspension 50mL
ef1f.,FLAGYL BOTTLE 0.5g/100mL intravenous infusion
ef1g.,*FLAGYL S suspension 100mL
ef1l.,*METROLYL 200mg tablets
ef1m.,*METROLYL 400mg tablets
ef1n.,METROLYL 500mg/100mL intravenous infusion amp
ef1o.,METROLYL 500mg/100mL intravenous infusion bag
ef1r.,*NIDAZOL 200mg tablets
ef1s.,VAGINYL 200mg tablets
ef1t.,VAGINYL 400mg tablets
ef1u.,*ZADSTAT 200mg tablets
ef1y.,FLAGYL 500mg/100mL intravenous infusion bag
ef1v.,ZADSTAT 500mg/100mL intravenous infusion
ef1z.,METROZOL 500mg/100mL infusion
ey11.,PENTAMIDINE 300mg injection
ey12.,PENTACARINAT 300mg injection
bc91.,QUINIDINE SULPHATE 200mg tablets
bc92.,QUINIDINE SULPHATE 300mg tablets
eh14.,AMBISOME 50mg/vial intravenous infusion
eh15.,AMPHOCIL 50mg intravenous infusion
eh16.,AMPHOCIL 100mg intravenous infusion
eh17.,ABELCET 100mg/20mL intravenous infusion concentrate
eh18.,ABELCET 50mg/10mL intravenous infusion
eh1u.,AMPHOTERICIN 50mg/10mL intravenous infusion
eh1v.,AMPHOTERICIN 100mg/20mL intravenous infusion concentrate
eh1w.,AMPHOTERICIN 100mg intravenous infusion
eh1x.,*AMPHOTERICIN 100mg tablets
eh1y.,AMPHOTERICIN 100mg/mL sugar free suspension
eh1z.,AMPHOTERICIN 50mg intravenous infusion
eh11.,*FUNGILIN 100mg tablets
eh12.,FUNGILIN 100mg/mL sugar free suspension
eh13.,FUNGIZONE 50mg intravenous infusion
en1z.,SOD STIBOGLUCONATE 10g/100mL injection
en11.,PENTOSTAM 10g/100mL injection
ejD..,ARTEMETHER+LUMEFANTRINE
ejD1.,ARTEMETHER+LUMEFANTRINE 20mg/120mg tablets
ejD2.,RIAMET 20mg/120mg tablets
ej61.,DARAPRIM 25mg tablets
ej6..,PYRIMETHAMINE
ej62.,*FANSIDAR 25mg tablets
ej63.,*MALOPRIM 12.5mg tablets
ej6w.,PYRIMETHAMINE & DAPSONE 12.5/100mg tablets
ej6x.,PYRIMETHAMINE & SULFADOXINE 25/500mg tablets
ej6y.,PYRIMETHAMINE 25mg tablets
ej6z.,*PYRIMETHAMINE 12.5mg tablets
ec61.,SULFADIAZINE 500mg tablets
ec64.,*SULPHATRIAD tablets
ec62.,*SULFADIAZINE 1g/4mL injection
ec63.,*STREPTOTRIAD tablets
ej41.,PRIMAQUINE 7.5mg tablets
e941.,SPIRAMYCIN 250mg tablets
e942.,ROVAMYCINE 250mg tablets
e943.,SPIRAMYCIN 125mg/5mL syrup
e944.,ROVAMYCINE 125mg/5mL syrup
ef21.,FASIGYN 500mg tablets
ef22.,FASIGYN 800mg/400mL intravenous infusion
ef23.,FASIGYN 1.6g/800mL intravenous infusion
ef2x.,TINIDAZOLE 500mg tablets
ef2y.,TINIDAZOLE 800mg/400mL intravenous infusion
ef2z.,TINIDAZOLE 1.6g/800mL intravenous infusion
ecc1.,TRIMETHOPRIM 100mg tablets
