CTV3Codes,Description
XaBBr,Primary CNS lymphoma
X78FF,Post-transplant lymphoproliferative disorder
Xa0SD,Burkitt's leukaemia
X70LK,African Burkitt's lymphoma
B602.,Burkitt's tumour
B6020,Burkitt's lymphoma of unspecified site
B6021,"Burkitt's lymphoma of lymph nodes of head, face and neck"
B6022,Burkitt's lymphoma of intrathoracic lymph nodes
B6023,Burkitt's lymphoma of intra-abdominal lymph nodes
B6024,Burkitt's lymphoma of lymph nodes of axilla and upper limb
B6025,Burkitt's lymphoma of lymph nodes of inguinal region and lower limb
B6026,Burkitt's lymphoma of intrapelvic lymph nodes
B6027,Burkitt's lymphoma of spleen
B6028,Burkitt's lymphoma of lymph nodes of multiple sites
B602z,Burkitt's lymphoma NOS
A7896,HIV disease resulting in Burkitt lymphoma
XaYje,"Extranodal natural killer/T-cell lymphoma, nasal type"
Xa0Tk,Angioimmunoblastic lymphoma
XaYii,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue
X705o,Lymphomatoid granulomatosis
X78QR,Lymphomatoid granulomatosis of lung
