CTV3Codes,Description
X3003,Gastro-oesophageal reflux
XE0aO,Gastro-oesophageal reflux disease without oesophagitis
XE0aL,Gastro-oesophageal reflux disease with oesophagitis
Xa1q7,Peptic oesophagitis
X3005,Peptic stricture of oesophagus
J1020,Gastro-oesophageal reflux disease with ulceration
Xa9Bz,Barrett's oesophagus
X3007,Barrett's oesophagus with oesophagitis
J1025,Barrett's ulcer of oesophagus
1955.,Burning reflux
XaLCS,Reflux cough
Ua1kQ,Gastric reflux
Xa7TZ,Excessive gastric reflux
Xa7Ta,Moderate gastric reflux
Xa7Tb,Minimal gastric reflux
R071.,[D]Heartburn
R0710,[D]Pyrosis
R0711,[D]Waterbrash
R071z,[D]Heartburn NOS
XE0CY,Antireflux operation
XE0CZ,Antireflux fundoplication using thoracic approach
XE0Ca,Antireflux fundoplication using abdominal approach
XE0Cc,Oesophagogastric fundoplasty
X20UY,Antireflux prosthesis procedure
XaDt8,Insertion of antireflux prosthesis
760L5,Insertion of Angelchik prosthesis
X20UZ,Replacement of implanted antireflux prosthesis
Xa8bS,Adjustment of implanted antireflux prosthesis
760M1,Adjustment to Angelchik prosthesis
760L1,Antireflux operation using thoracic approach NEC
760L4,Antireflux procedure and gastroplasty however further qualified
760Ly,Other specified antireflux operation
760Lz,Antireflux operation NOS
XE0Cb,Antireflux gastropexy
X301B,Displacement of oesophageal antireflux device
XaK99,Laryngopharyngeal reflux
