V2Codes,Description
Eu81z,[X]Learning disability NOS
Eu816,[X]Mild learning disability
Eu815,[X]Severe learning disability
Eu814,[X]Moderate learning disability
Eu817,[X]Profound learning disability
918e.,On learning disability register
Eu818,[X]Specific learning disability
9mA..,Learning disability annual health check invitation
9mA0.,Learning disability annual health check verbal invitation
9mA1.,Learning disability annual health check telephone invitation
9mA2.,Learning disability annual health check letter invitation
9mA20,Learning disability annual health check invitation first letter
9mA21,Learning disability annual health check invitation second letter
9mA22,Learning disability annual health check invitation third letter
13VCA,Intellectual functioning disability
13VC9,Intellectual development disorder of unknown aetiology
Eu7..,[X]Mental retardation
Eu70.,[X]Mild mental retardation
Eu71.,[X]Moderate mental retardation
Eu72.,[X]Severe mental retardation
Eu73.,[X]Profound mental retardation
Eu7y.,[X]Other mental retardation
Eu7z.,[X]Unspecified mental retardation
E3,Mental retardation
Xa1aW,Borderline mental retardation
XE2a3?,"Mild mental retardation, IQ in range 50-70"
Eu700,"[X]Mild mental retardation with the statement of no, or minimal, impairment of behaviour"
Eu70y,"[X]Mild mental retardation, other impairments of behaviour"
Eu70z,[X]Mild mental retardation without mention of impairment of behaviour
E310.,"Moderate mental retardation, IQ in range 35-49"
Eu710,"[X]Moderate mental retardation with the statement of no, or minimal, impairment of behaviour"
Eu711,"[X]Moderate mental retardation, significant impairment of behaviour requiring attention or treatment"
Eu71y,[X]Mod retard oth behav impair
Eu71z,[X]Moderate mental retardation without mention of impairment of behaviour
E311.,"Severe mental retardation, IQ in range 20-34"
Eu720,"[X]Severe mental retardation with the statement of no, or minimal, impairment of behaviour"
Eu721,"[X]Severe mental retardation, significant impairment of behaviour requiring attention or treatment"
Eu72y,"[X]Severe mental retardation, other impairments of behaviour"
Eu72z,[X]Severe mental retardation without mention of impairment of behaviour
E312.,Profound mental retardation with IQ less than 20
Eu730,"[X]Profound mental retardation with the statement of no, or minimal, impairment of behaviour"
Eu731,"[X]Profound mental retardation, significant impairment of behaviour requiring attention or treatment"
Eu73y,"[X]Profound mental retardation, other impairments of behaviour"
Eu73z,[X]Profound mental retardation without mention of impairment of behaviour
Xa0ER,Educationally subnormal
Xa3HI,Severely educationally subnormal
E31..,Other specified mental retardation
E31z.,Other specified mental retardation NOS
Eu7y0,"[X]Other mental retardation with the statement of no, or minimal, impairment of behaviour"
Eu813,[X]Mixed disorder of scholastic skills
ZV400,[V]Problems with learning
Eu7yy,"[X]Other mental retardation, other impairments of behaviour"
Eu7yz,[X]Other mental retardation without mention of impairment of behaviour
E3z..,Mental retardation NOS
Eu7z0,"[X]Unspecified mental retardation with the statement of no, or minimal, impairment of behaviour"
Eu7z1,"[X]Unspecified mental retardation, significant impairment of behaviour requiring attention or treatment"
Eu7zy,"[X]Unspecified mental retardation, other impairments of behaviour"
Eu7zz,[X]Unspecified mental retardation without mention of impairment of behaviour
XE1a2,[X]Unspecified mental retardation
R034y,[D]Global retardation
Xa330,Retardation of thought
Xac3V,Died in learning disability unit
XaPx2,Learning disability health examination
XaaCP,Under care of community learning disability team
