CTV3Codes,Description
X701n,Juvenile arthritis
N043.,Systemic onset juvenile chronic arthritis
N0432,Pauciarticular onset juvenile chronic arthritis
X701o,Early onset pauciarticular chronic arthritis
X701p,Late onset pauciarticular chronic arthritis
X701q,Polyarticular onset juvenile chronic arthritis
X701r,Early onset polyarticular juvenile chronic arthritis
X701s,Late onset polyarticular juvenile chronic arthritis
X701t,Juvenile rheumatoid arthritis
N0430,Juvenile rheumatoid arthropathy unspecified
N0431,Acute polyarticular juvenile rheumatoid arthritis
N0433,Monarticular juvenile rheumatoid arthritis
N043z,Juvenile rheumatoid arthritis NOS
X701u,Juvenile psoriatic arthritis
X701v,Juvenile psoriatic arthritis with psoriasis
X701w,Juvenile psoriatic arthritis without psoriasis
X7021,Juvenile arthritis of inflammatory bowel disease
N0453,Juvenile arthritis in Crohn's disease
N0454,Juvenile arthritis in ulcerative colitis
N045.,Other juvenile arthritis
Nyu15,[X]Other juvenile arthritis
Nyu16,[X]Juvenile arthritis in other diseases classified elsewhere
Xa3wk,Still's disease - juvenile rheumatoid arthritis
X701x,Juvenile ankylosing spondylitis
X701y,Juvenile spondyloarthropathy
X701z,Juvenile reactive arthritis
X7020,Juvenile Reiter's syndrome
