CTV3Codes,Description
M170.,Lichen planus
X507Y,Confluent lichen planus
X507Z,Micropaplular lichen planus
X507a,Guttate lichen planus
X507b,Follicular lichen planus
M1703,Bullous lichen planus
M1701,Annular lichen planus
M1704,Hypertrophic lichen planus
M1702,Atrophic lichen planus
M1705,Linear lichen planus
X507c,Zosteriform lichen planus
M1700,Acintic lichen planus
X507d,Post inflammatory hyperpigmentation in lichen planus
X507e,Wickham's striae in lichen planus
X507f,Lichen planus - lupus erythematosus overlap
X507g,Lichen planus pemphigoides
X507h,Site-specific lichen planus
X507i,Lichen planus of scalp
X507j,Lichen planus of palms and soles
X507k,Ulcerative lichen planus of palms and soles
X507n,Mutilating lichen planus of fingers and toes
X507l,Lichen planus of nail
X507w,Genital lichen planus
X408F,Lichen planus of vuvla
X507y,Erosive lichen planus of vulva
X507z,Lichen planus of penis
X5080,Lichen planus of glans penis
M1707,Lichen planus obtusus
M1708,Subacute active lichen planus
M170z,Lichen planus NOS
Myu32,[X]Other lichen planus
M17y0,Lichen ruber moniliforme
