CTV3Codes,Description
x01CM,Alfuzosin
gc61.,Alfuzosin hydrochloride 2.5mg tablet
gc62.,Xatral 2.5mg tablet
gc63.,Alfuzosin hydrochloride 5mg m/r tablet
gc64.,Xatral SR 5mg m/r tablet
gc6z.,Alfuzosin hydrochloride 10mg m/r tablet
gc67.,BESAVAR XL 10mg m/r tablets
gc65.,Xatral XL 10mg m/r tablet
gc66.,ZUFAL XL 10mg m/r tablets
gc6..,Alfuzosin hydrochloride product
gc68.,VASRAN XL 10mg m/r tablets
gc69.,KELANU XL 10mg m/r tablets
gc6A.,TAURAZIL XL 10mg m/r tablets
x01CN,Doxazosin
bh61.,Doxazosin 1mg tablet
bh64.,Cardura 1mg tablet
bh6B.,Doxadura 1mg tablet
bh62.,Doxazosin 2mg tablet
bh65.,Cardura 2mg tablet
bh69.,Cascor 2mg tablet
bh6C.,Doxadura 2mg tablet
bh63.,Doxazosin 4mg tablet
bh66.,Cardura 4mg tablet
bh6A.,Cascor 4mg tablet
bh6D.,Doxadura 4mg tablet
bh6z.,Doxazosin 4mg m/r tablet
bh67.,Cardura XL 4mg m/r tablet
bh6F.,DOXADURA XL 4mg m/r tablets
bh6G.,OXANDOSIN XL 4mg m/r tablets
bh6E.,SLOCINX XL 4mg m/r tablets
bh6y.,Doxazosin 8mg m/r tablet
bh68.,Cardura XL 8mg m/r tablet
bh6..,Doxazosin mesylate
bh6H.,RAPORSIN XL 4mg m/r tablets
x01CO,Indoramin
bh14.,Indoramin 20mg tablet
bh13.,Doralese Tiltab 20mg tablet
bh1y.,Indoramin 25mg tablet
bh11.,Baratol 25mg tablet
bh1z.,Indoramin 50mg tablet
bh12.,Baratol 50mg tablet
bh1..,Indoramin hydrochloride
x01CR,Prazosin
bh4v.,Prazosin hydrochloride 500micrograms+1mg tablet starter pack
bh45.,Hypovase tablet starter pack
bh4w.,Prazosin hydrochloride 500micrograms tablet
bh46.,Alphavase 500micrograms tablet
bh41.,Hypovase 500mcg tablet
bh4A.,Kentovace 500micrograms tablet
bh4x.,Prazosin hydrochloride 1mg tablet
bh47.,Alphavase 1mg tablet
bh42.,Hypovase 1mg tablet
bh4B.,Kentovace 1mg tablet
bh4y.,Prazosin hydrochloride 2mg tablet
bh48.,Alphavase 2mg tablet
bh43.,Hypovase 2mg tablet
bh4C.,Kentovace 2mg tablet
bh4z.,Prazosin hydrochloride 5mg tablet
bh49.,Alphavase 5mg tablet
bh44.,Hypovase 5mg tablet
bh4D.,Kentovace 5mg tablet
bh4..,Prazosin hydrochloride product
x03dm,Tamsulosin
gc71.,Tamsulosin hydrochloride 400micrograms m/r capsule
gc7A.,ALPHACARD MR 400micrograms m/r capsules
gc75.,Bazetham MR 400micrograms m/r capsule
gc79.,CONTIFLO XL 400micrograms m/r capsules
gc72.,Flomax MR 400micrograms m/r capsule
gc78.,Omnic MR 400micrograms m/r capsule
gc77.,Stronazon 400micrograms m/r capsule
gc76.,Tabphyn MR 400micrograms m/r capsule
gc73.,Tamsulosin hydrochloride 400micrograms m/r tablet
gc74.,Flomaxtra XL 400micrograms m/r tablet
gc7..,Tamsulosin hydrochloride
gc7B.,FLOMAX RELIEF MR 400micrograms m/r capsules
gc7C.,PINEXEL PR 400micrograms m/r capsules
gc7D.,FARAMSIL 400micrograms m/r tablets
gc7E.,PAMSVAX XL 400micrograms m/r capsules
gc7F.,TAMFREX XL 400micrograms m/r capsules
gc9..,SOLIFENACIN+TAMSULOSIN
gc91.,VESOMNI 6mg/0.4mg m/r tablets
gc92.,SOLIFENACIN SUCCINATE+TAMSULOSIN HCL 6mg/0.4mg m/r tablets
gc8..,DUTASTERIDE+TAMSULOSIN HYDROCHLORIDE
gc81.,DUTASTERIDE+TAMSULOSIN HYDROCHLORIDE 0.5mg/0.4mg capsules
gc82.,COMBODART capsules
x01CS,Terazosin
bh5y.,Terazosin 1mg+2mg tablet starter pack
bh54.,Hytrin tablet starter pack
gc5z.,Terazosin 1mg+2mg+5mg tablet starter pack
gc51.,Hytrin BPH tablet starter pack
bh5z.,Terazosin 2mg tablet
bh51.,Hytrin 2mg tablet
gc52.,Hytrin BPH 2mg tablet
bh55.,Terazosin 5mg tablet
bh52.,Hytrin 5mg tablet
gc53.,Hytrin BPH 5mg tablet
bh56.,Terazosin 10mg tablet
bh53.,Hytrin 10mg tablet
gc54.,Hytrin BPH 10mg tablet
bh5..,Terazosin hydrochloride
bh57.,HYTRIN 1mg tablets
bh5x.,TERAZOSIN 1mg tablets
gc5..,Terazosin hydrochloride [see chap B for generic preps]
gc55.,HYTRIN BPH 1mg tablets
