CTV3Codes,Description
B621.,Mycosis fungoides
XaQbT,Poikiloderma vasculare atrophicans
X78hm,Mycosis fungoides of skin
B6210,Mycosis fungoides of unspecified site
B6211,"Mycosis fungoides of lymph nodes of head, face and neck"
B6212,Mycosis fungoides of intrathoracic lymph nodes
B6213,Mycosis fungoides of intra-abdominal lymph nodes
B6214,Mycosis fungoides of lymph nodes of axilla and upper limb
B6215,Mycosis fungoides of lymph nodes of inguinal region and leg
B6216,Mycosis fungoides of intrapelvic lymph nodes
B6217,Mycosis fungoides of spleen
B6218,Mycosis fungoides of lymph nodes of multiple sites
B621z,Mycosis fungoides NOS
B622.,Sezary's disease
B6220,Sezary's disease of unspecified site
B6221,"Sezary's disease of lymph nodes of head, face and neck"
B6222,Sezary's disease of intrathoracic lymph nodes
B6223,Sezary's disease of intra-abdominal lymph nodes
B6224,Sezary's disease of lymph nodes of axilla and upper limb
B6225,Sezary's disease of lymph nodes of inguinal region and leg
B6226,Sezary's disease of intrapelvic lymph nodes
B6227,Sezary's disease of spleen
B6228,Sezary's disease of lymph nodes of multiple sites
B622z,Sezary's disease NOS
X78hn,Sezary's disease of skin
X78hl,Cutaneous lymphoma
XaYin,Cutaneous follicle centre lymphoma
Xa0Sz,Cutaneous/peripheral T-cell lymphoma
XaYjf,Subcutaneous panniculitis like T-cell lymphoma
ByuDD,[X]0th and unspecif peripheral & cutaneous T-cell lymphomas
XaYjl,Primary cutaneous CD30 antigen positive large T-cell lymphoma
XaOCE,Amelanotic malignant melanoma of skin
