CTV3Codes,Description
XaKvm,Multiple sclerosis review
XaKvn,Multiple sclerosis multidisciplinary review
XaX9A,Multiple sclerosis monitoring administration
XaX9F,Multiple sclerosis monitoring first letter
XaX9H,Multiple sclerosis monitoring second letter
XaX9J,Multiple sclerosis monitoring telephone invitation
XaX9L,Multiple sclerosis monitoring third letter
F20..,Multiple sclerosis
XaP1V,Secondary progressive multiple sclerosis
XaP1B,Relapsing and remitting multiple sclerosis
XaP0r,Primary progressive multiple sclerosis
XaP0X,Malignant multiple sclerosis
XaOzZ,Benign multiple sclerosis
X005c,Acute relapsing multiple sclerosis
X005d,Chronic progressive multiple sclerosis
X005e,Remittent-progressive multiple sclerosis
F200.,Multiple sclerosis of the brainstem
F201.,Multiple sclerosis of the spinal cord
F202.,Generalised multiple sclerosis
F203.,Exacerbation of multiple sclerosis
F20z.,Multiple sclerosis NOS
XaPSc,Management of multiple sclerosis in palliative phase
XaPSb,Management of multiple sclerosis in progressive disability phase
XaPSa,Management of multiple sclerosis in stable disability phase
XaPSZ,Management of multiple sclerosis in early disease phase
XaPSY,Management of multiple sclerosis in onset phase
XaXsg,Referral to community multiple sclerosis team
XaKA8,Specialised services for patients with multiple sclerosis enhanced services administration
XaKzg,Multiple sclerosis care plan agreed
