CTV3Codes,Description
x01Dq,Cetirizine
c8n1.,Cetirizine dihydrochloride 10mg tablet
c8nB.,Benadryl One A Day 10mg tablet
c8nC.,Cetirizine 10mg Allergy Relief One A Day tablet
c8nD.,Care Cetirizine Hayfever Relief 10mg tablet
c8n5.,Cetirocol 10mg tablet
c8n8.,Galpharm Hayfever and Allergy Relief 10mg tablet
c8nG.,Numark Hayfever and Allergy Relief 10mg tablet
c8n6.,Piriteze 10mg tablet
c8nK.,POLLENSHIELD HAYFEVER RELIEF 10mg tablets
c8nJ.,Vantage Hayfever and Allergy Relief 10mg tablet
c8n2.,Zirtek Allergy 10mg tablet
c8nA.,Zirtek Allergy Relief 10mg tablet
c8n3.,Cetirizine dihydrochloride 1mg/1mL s/f oral solution
c8nE.,Benadryl Allergy 1mg/mL s/f oral solution
c8nI.,Galpharm Allergy Relief 1mg/1mL s/f oral solution
c8nH.,Piriteze Allergy Syrup 1mg/1mL s/f oral solution
c8n4.,Zirtek Allergy 1mg/mL s/f oral solution
c8n..,Cetirizine hydrochloride
c8nL.,BENADRYL ALLERGY LIQUID RELEASE 10mg capsules
c8nM.,CETIRIZINE 10mg capsules
