V2Codes,Description
m46..,ALCLOMETASONE DIPROPIONATE
m461.,*MODRASONE 0.05% cream 15g
m462.,MODRASONE 0.05% cream 50g
m463.,*MODRASONE 0.05% ointment 15g
m464.,*MODRASONE 0.05% ointment 50g
m46y.,ALCLOMETASONE DIPROPIONATE 0.05% cream
m46z.,ALCLOMETASONE DIPROPIONATE 0.05% ointment
m48F.,AUDAVATE RD 0.025% cream 100g
m48G.,AUDAVATE RD 0.025% ointment 100g
m48a.,BETNOVATE RD 0.025% cream 100g
m48b.,BETNOVATE RD 0.025% ointment 100g
m48m.,BETAMETHASONE 0.025% cream
m48n.,BETAMETHASONE 0.025% ointment
m4b..,CLOBETASONE BUTYRATE [SKIN]
m4b1.,EUMOVATE 0.05% cream 30g
m4b2.,EUMOVATE 0.05% cream 100g
m4b3.,EUMOVATE 0.05% ointment 30g
m4b4.,EUMOVATE 0.05% ointment 100g
m4b7.,EUMOVATE 0.05% cream 15g
m4by.,CLOBETASONE 0.05% cream
m4bz.,CLOBETASONE 0.05% ointment
m4d..,DESOXIMETASONE
m4d1.,*STIEDEX 0.25% oily cream 30g
m4d2.,STIEDEX LP 0.05% oily cream 30g
m4d4.,*STIEDEX 0.25% lotion 50mL
m4d5.,STIEDEX LP 0.05% oily cream 100g
m4dz.,DESOXIMETASONE 0.05% oily cream
m4g8.,SYNALAR 1:4 cream 50g
m4gi.,SYNALAR 1:4 ointment 50g
m4gv.,FLUOCINOLONE ACETONIDE 0.00625% cream
m4gs.,FLUOCINOLONE ACETONIDE 0.00625% ointment
m4ga.,*SYNANDONE 0.01% cream
m4gb.,*SYNANDONE 0.01% ointment
m4gx.,FLUOCINOLONE ACETONIDE 0.01% cream
m4gy.,FLUOCINOLONE ACETONIDE 0.01% ointment
m4h..,FLUOCINONIDE
m4i..,FLUOCORTOLONE
m4i1.,*ULTRADIL cream 50g
m4i2.,*ULTRADIL plain cream 100g
m4i3.,*ULTRADIL ointment 50g
m4i4.,*ULTRADIL plain ointment 100g
m4i5.,*ULTRALANUM plain cream 30g
m4i6.,*ULTRALANUM cream 50g
m4i7.,*ULTRALANUM plain ointment 30g
m4i8.,*ULTRALANUM ointment 50g
m4i9.,*FLUOCORTOLONE 0.2% cream
m4ia.,*FLUOCORTOLONE 0.2% ointment
m4ib.,FLUOCORTOLONE 0.5% cream
m4ic.,FLUOCORTOLONE 0.5% ointment
m4id.,*ULTRADIL PLAIN ointment 50g
m4ie.,*ULTRADIL PLAIN cream 50g
m4if.,ULTRALANUM PLAIN cream 50g
m4ig.,ULTRALANUM PLAIN ointment 50g
m4j..,FLUDROXYCORTIDE
m4j1.,HAELAN 0.0125% cream 60g
m4j2.,HAELAN 0.0125% ointment 60g
m4jw.,FLUDROXYCORTIDE 0.0125% cream
m4jx.,FLUDROXYCORTIDE 0.0125% ointment
m4j7.,HAELAN 4micrograms/square centimetre 7.5cmx50cm tape
m4j8.,HAELAN 4micrograms/square centimetre 7.5cmx200cm tape
m4ju.,FLUDROXYCORTIDE 4micrograms/square centimetre 7.5x200cm tape
m4jv.,FLUDROXYCORTIDE 4micrograms/square centimetre 7.5x50cm tape
m4j5.,*HAELAN-C 0.0125% cream 30g
m4j6.,*HAELAN-C 0.0125% ointment 30g
m4l..,HYDROCORTISONE BUTYRATE
m4l1.,LOCOID 0.1% cream 30g
m4l2.,LOCOID 0.1% cream 100g
m4l3.,LOCOID LIPOCREAM 0.1% cream 30g
m4l4.,LOCOID 0.1% ointment 30g
m4l5.,LOCOID 0.1% ointment 100g
m4l6.,*LOCOID 0.1% scalp lotion 30mL
m4l7.,LOCOID 0.1% scalp lotion 100mL
m4l8.,*LOCOID C 0.1% cream 30g
m4l9.,*LOCOID C 0.1% ointment 30g
m4la.,LOCOID LIPOCREAM 0.1% cream 100g
m4lb.,LOCOID CRELO 0.1% emulsion
m4lt.,HYDROCORTISONE BUTYRATE 0.1% emulsion
m4lw.,HYDROCORTISONE BUTYRATE 0.1% cream
m4lx.,HYDROCORTISONE BUTYRATE 0.1% lipocream
m4ly.,HYDROCORTISONE BUTYRATE 0.1% ointment
m4lz.,HYDROCORTISONE BUTYRATE 0.1% scalp lotion
m4r..,FLUTICASONE PROPIONATE[SKIN]
m4r1.,CUTIVATE 0.05% cream
m4r2.,FLUTICASONE PROPIONATE 0.05% cream
m4r3.,CUTIVATE 0.05% cream 15g
m4r4.,*CUTIVATE 0.05% cream 50g
m4r5.,FLUTICASONE PROPIONATE 0.005% ointment
m4r6.,CUTIVATE 0.005% ointment
m4r7.,CUTIVATE 0.005% ointment 15g
m4r8.,*CUTIVATE 0.005% ointment 50g
m4r9.,CUTIVATE 0.005% ointment 30g
m4rA.,CUTIVATE 0.05% cream 30g
m441.,ALPHADERM cream 30g
m442.,ALPHADERM cream 100g
