V2Codes,Description
c883.,DIPHENHYDRAMINE HCL 25mg tablets
m347.,DIPHENHYDRAMINE HYDROCHLORIDE 2% cream
c887.,DIPHENHYDRAMINE HYDROCHLORIDE 50mg tablets
c884.,DIPHENHYDRAMINE HYDROCHLORIDE 10mg/5mL syrup
c88..,DIPHENHYDRAMINE HYDROCHLORIDE [ANTIHISTAMINE]
c881.,*BENADRYL 25mg capsules
c882.,NYTOL 25mg tablets
c885.,*MEDINEX 10mg/5mL syrup
c886.,NYTOL ONE-A-NIGHT 50mg tablets
c888.,*NIGHTCALM 25mg tablets
c889.,PAXIDORM 25mg tablets
c88A.,*SLEEPIA 50mg capsules
c88B.,DREEMON 25mg tablets
c88C.,*DREEMON 10mg/5mL syrup
c88D.,HISTERGAN 10mg/5mL syrup
c88E.,HISTERGAN 25mg tablets
c88F.,MANDALYN PAEDIATRIC 6.25mg/5mL syrup
c88G.,VANTAGE PHARMACY SLEEP AID 50mg tablets
c88H.,CARE NIGHT TIME SLEEP AID 25mg tablets
c88I.,GALPHARM ONE A NIGHT NIGHTCALM 50mg tablets
c88x.,DIPHENHYDRAMINE HYDROCHLORIDE 6.25mg/5mL syrup
c88y.,DIPHENHYDRAMINE HYDROCHLORIDE 50mg capsules
c88z.,DIPHENHYDRAMINE HYDROCHLORIDE 25mg capsules
dibO.,PARACETAMOL+DIPHENHYDRAMINE HYDROCHLORIDE 500mg/25mg tablets
dibT.,PARACETAMOL+DIPHENHYDRAMINE HYDROCHLORIDE 120mg/12.5mg/5mL sugar free oral solution
