CTV3Codes,Description
XE117,Albinism
XaZqX,Partial albinism
X40Rp,Oculocutaneous albinism
X40Rq,Tyrosinase-negative oculocutaneous albinism
X40Rr,Yellow oculocutaneous albinism
X40Rs,Minimal pigment oculocutaneous albinism
X40Rt,Temperature-sensitive oculocutaneous albinism
X40Ru,Tyrosinase-positive oculocutaneous albinism
X20Ex,Hermansky-Pudlak syndrome
X40Rw,Rufous oculocutaneous albinism
X40Rv,Brown oculocutaneous albinism
X20Dv,Chediak-Higashi syndrome
P3y0.,Ocular albinism
X40Rz,X-linked ocular albinism
X40S0,Autosomal recessive ocular albinism
X40S1,Autosomal dominant oculocutaneous albinism
X40S2,Albinoidism
X20Ij,Griscelli syndrome with immunodeficiency
X40S3,Cross syndrome
X40Ro,Klein-Waardenberg's syndrome
X75ju,Albino iris
X75no,Albinotic fundus
