V2Codes,Description
B5420,Malignant neoplasm of pituitary gland
B920.,Neoplasm of uncertain behaviour of pituitary gland and craniopharyngeal duct
B9200,Neoplasm of uncertain behaviour of pituitary gland
B9201,Neoplasm of uncertain behaviour of craniopharyngeal duct
B920z,Neoplasm of uncertain behaviour of pituitary gland and craniopharyngeal duct NOS
B7H2.,Benign neoplasm of pituitary gland and craniopharyngeal duct
B7H20,Benign neoplasm of pituitary gland
B7H21,Benign neoplasm of Rathke's pouch
B7H22,Benign neoplasm of sella turcica
B7H23,Benign neoplasm of craniopharyngeal duct
B7H2z,Benign neoplasm of pituitary gland and craniopharyngeal duct NOS
71020,Excision of lesion on pituitary gland
71021,Biopsy of lesion on pituitary gland
BB5y4,[M] Prolactinoma
