CTV3Codes,Description
X203s,Arterial thrombosis
XaDyO,Head and neck arterial thrombosis
X203t,Vertebral artery thrombosis
X203u,Carotid artery thrombosis
XaDyP,Upper limb arterial thrombosis
Xa6Yo,Subclavian artery thrombosis
Xa6Yf,Brachial artery thrombosis
XaDyQ,Lower limb arterial thrombosis
X203z,Iliac artery thrombosis
Xa6Yj,Common iliac artery thrombosis
Xa6Yk,External iliac artery thrombosis
Xa6Ym,Internal iliac artery thrombosis
X2040,Femoral artery thrombosis
Xa6Yi,Common femoral artery thrombosis
Xa6Yp,Superficial femoral artery thrombosis
Xa6Yn,Profunda femoris artery thrombosis
X2041,Popliteal artery thrombosis
Xa6Yz,Crural artery thrombosis
X203v,Coronary artery thrombosis
Xa6Yh,Coeliac artery thrombosis
Xa6Yl,Hepatic artery thrombosis
X203w,Abdominal aorta thrombosis
X203x,Aortic bifurcation thrombosis
X00E7,Anterior spinal artery thrombosis
K1382,Renal artery thrombosis
XaZR8,Renal artery stent thrombosis
J4201,Superior mesenteric artery thrombosis
Xa7lU,Digital arterial thrombosis
Xa1ak,Arterial graft thrombosis
X50La,Arterial thrombosis of flap
XaAtB,Thrombosis of femoropopliteal bypass graft
XaAtC,Thrombosis of femorofemoral crossover bypass graft
XaAtD,Thrombosis of axillofemoral bypass graft
XaAtE,Thrombosis of aortic bifurcation bypass graft
XaAtF,Thrombosis of renal artery bypass graft
XE0VS,Arterial embolus and thrombosis
G742.,Embolism and thrombosis of an arm or leg artery
G7420,Embolism and thrombosis of the brachial artery
G7421,Embolism and thrombosis of the radial artery
G7422,Embolism and thrombosis of the ulnar artery
G7423,Embolism and thrombosis of an arm artery NOS
G7424,Embolism and thrombosis of the femoral artery
G7425,Embolism and thrombosis of the popliteal artery
G7426,Embolism and thrombosis of the anterior tibial artery
G7427,Embolism and thrombosis of the dorsalis pedis artery
G7428,Embolism and thrombosis of the posterior tibial artery
G7429,Embolism and thrombosis of a leg artery NOS
G742z,Peripheral arterial embolism and thrombosis NOS
G74y.,Embolism and thrombosis of other specified artery
G74y0,Embolism and/or thrombosis of the common iliac artery
G74y1,Embolism and/or thrombosis of the internal iliac artery
G74y2,Embolism and/or thrombosis of the external iliac artery
G74y3,Embolism and thrombosis of the iliac artery unspecified
G74y5,Embolism and thrombosis of the subclavian artery
G74y6,Embolism and thrombosis of the splenic artery
G74y7,Embolism and thrombosis of the axillary artery
G74y8,Embolism and thrombosis of the coeliac artery
G74y9,Embolism and thrombosis of the hepatic artery
G74yz,Embolism and thrombosis of other arteries NOS
G74z.,Arterial embolism and thrombosis NOS
Gyu75,[X]Embolism and thrombosis of other arteries
XM0rc,Aortic thromboembolism
G741.,Embolism and thrombosis of the thoracic aorta
XE0VT,Embolism and thrombosis of the abdominal aorta
Xa3fX,Embolus/thrombosis aorta NOS
XaBDG,Embolism and thrombosis of other and unspecified parts of aorta
F1611,Myelopathy due to arterial thrombosis of spinal cord
Xaa2O,Thrombosis of artery of transplanted kidney
X014a,Thrombectomy of artery
X0154,Thrombolysis of artery
Xa0Gn,Percutaneous thrombolysis of artery
XaLhY,Percutaneous transluminal arterial thrombolysis and reconstruction
XaG1G,Percutaneous thrombolysis of iliac artery
X0157,Percutaneous thrombolysis of common iliac artery
X0158,Percutaneous thrombolysis of external iliac artery
X70Xc,Percutaneous thrombolysis of internal iliac artery
XaG1F,Percutaneous thrombolysis of lower limb artery
X0159,Percutaneous thrombolysis of common femoral artery
X015A,Percutaneous thrombolysis of superficial femoral artery
X015B,Percutaneous thrombolysis of profunda femoris
X015C,Percutaneous thrombolysis of popliteal artery
X015D,Percutaneous thrombolysis of crural artery
X00Hq,Percutaneous thrombolysis of intracranial artery
X00tT,Percutaneous thrombolysis of coronary artery
79291.,Percutaneous transluminal coronary thrombolysis using streptokinase
79292.,Percutaneous transluminal injection of therapeutic substance into coronary artery NEC
X70XV,Percutaneous thrombolysis of subclavian artery
X70XW,Percutaneous thrombolysis of brachial artery
X70XX,Percutaneous thrombolysis of coeliac artery
X70XY,Percutaneous thrombolysis of superior mesenteric artery
X70Xa,Percutaneous thrombolysis of hepatic artery
X70XZ,Percutaneous thrombolysis of renal artery
X015E,Percutaneous thrombolysis of arterial graft
XaBrm,Percutaneous transluminal thrombolysis of femoral graft using streptokinase
XaLhT,Percutaneous transluminal thrombolysis of artery
Xa9eR,Thrombectomy of intracranial artery
7A4A2,Open thrombectomy of femoral artery
7A4A3,Open thrombectomy of popliteal artery
XaE0L,Thrombectomy of superficial femoral artery
