CTV3Codes,Description
8631.,Light therapy
XaMpO,Phototherapy to skin
XaMpU,Other specified phototherapy to skin
XaMpV,Phototherapy to skin NOS
X79wd,Photodynamic therapy
XaMp1,Photodynamic therapy of skin of whole body
XaMp0,Photodynamic therapy of skin
XaMp2,Other specified photodynamic therapy of skin
XaMp3,Photodynamic therapy of skin NOS
XE0hV,Ultraviolet light therapy
Ub1QK,Ultraviolet A therapy
XaMpP,Ultraviolet A light therapy to skin
XaMp7,Combined photochemotherapy and ultraviolet A light therapy to skin
Ub1QL,Ultraviolet B therapy
XaMpQ,Ultraviolet B light therapy to skin
XaMp8,Combined photochemotherapy and ultraviolet B light therapy to skin
Ub1QM,Ultraviolet C therapy
Ub1QN,PUVA therapy
8634.,Ultraviolet lesion destruction
Xa3q3,Ultraviolet therapy NOS
Xa3q4,Local skin ultraviolet therapy
Ua1MU,Photochemotherapy
Ua1MR,Intermittent phototherapy
XM17y,Phototherapy - NEC
Ua1MS,Goeckerman photochemotherapy treatment
