CTV3Codes,Description
XE2Q6,Attention deficit disorder
E2E0.,Child attention deficit disorder
E2E0z,Child attention deficit disorder NOS
Eu900,[X]Disturbance of activity and attention
XaaZj,Stimulant drug therapy for ADHD (attention deficit hyperactivity disorder)
XaaZk,Non-stimulant drug therapy for ADHD (attention deficit hyperactivity disorder)
XaQxu,Attention deficit hyperactivity disorder monitoring invitation first letter
XaQzB,Attention deficit hyperactivity disorder monitoring invitation third letter
E2E00,Attention deficit without hyperactivity
XaQzA,Attention deficit hyperactivity disorder monitoring invitation second letter
Ub1Tx,DAMP - Deficits in attention motor control and perception
Xaae7,On drug therapy for ADHD (attention deficit hyperactivity disorder)
Xaae9,On non-stimulant drug therapy for ADHD (attention deficit hyperactivity disorder)
Xaae8,On stimulant drug therapy for ADHD (attention deficit hyperactivity disorder)
XaVw9,Attention deficit hyperactivity disorder annual review
XaaZA,Drug therapy ADHD (attention deficit hyperactivity disorder)
