CTV3Codes,Description
U2090,"[X]Intentional self poisoning by and exposure to alcohol, occurrence at home"
U209y,"[X]Intentional self poisoning by and exposure to alcohol, occurrence at other specified place"
U2092,"[X]Intentional self poisoning by and exposure to alcohol, occurrence at school, other institution and public administrative area"
U2093,"[X]Intentional self poisoning by and exposure to alcohol, occurrence at sports and athletics area"
U2095,"[X]Intentional self poisoning by and exposure to alcohol, occurrence at trade and service area"
U2066,"[X]Intentional self poisoning by and exposure to hallucinogens, occurrence at industrial and construction area"
U2063,"[X]Intentional self poisoning by and exposure to hallucinogens, occurrence at sports and athletics area"
U2065,"[X]Intentional self poisoning by and exposure to hallucinogens, occurrence at trade and service area"
U2067,"[X]Intentional self poisoning by and exposure to hallucinogens, occurrence on farm"
U2064,"[X]Intentional self poisoning by and exposure to hallucinogens, occurrence on street and highway"
XA22f,[X]Intentional self poisoning by and exposure to narcotic drugs
U205z,"[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence at unspecified place"
U2057,"[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence on farm"
U2054,"[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence on street and highway"
Eu120,[X]Mental and behavioural disorders due to use of cannabinoids: acute intoxication
Eu121,[X]Mental and behavioural disorders due to use of cannabinoids: harmful use
Eu12y,[X]Mental and behavioural disorders due to use of cannabinoids: other mental and behavioural disorders
Eu146,[X]Mental and behavioural disorders due to use of cocaine: amnesic syndrome
Eu145,[X]Mental and behavioural disorders due to use of cocaine: psychotic disorder
Eu147,[X]Mental and behavioural disorders due to use of cocaine: residual and late-onset psychotic disorder
Eu143,[X]Mental and behavioural disorders due to use of cocaine: withdrawal state
Eu160,[X]Mental and behavioural disorders due to use of hallucinogens: acute intoxication
Eu16y,[X]Mental and behavioural disorders due to use of hallucinogens: other mental and behavioural disorders
Eu165,[X]Mental and behavioural disorders due to use of hallucinogens: psychotic disorder
XE1ZK,[X]Mental and behavioural disorders due to use of hallucinogens: residual and late-onset psychotic disorder
Eu164,[X]Mental and behavioural disorders due to use of hallucinogens: withdrawal state with delirium
XA1Zl,[X]Mental and behavioural disorders due to use of opioids: withdrawal state
Eu114,[X]Mental and behavioural disorders due to use of opioids: withdrawal state with delirium
Eu136,[X]Mental and behavioural disorders due to use of sedatives or hypnotics: amnesic syndrome
Eu132,[X]Mental and behavioural disorders due to use of sedatives or hypnotics: dependence syndrome
Eu135,[X]Mental and behavioural disorders due to use of sedatives or hypnotics: psychotic disorder
Eu137,[X]Mental and behavioural disorders due to use of sedatives or hypnotics: residual and late-onset psychotic disorder
Eu13z,[X]Mental and behavioural disorders due to use of sedatives or hypnotics: unspecified mental and behavioural disorder
Eu133,[X]Mental and behavioural disorders due to use of sedatives or hypnotics: withdrawal state
Eu134,[X]Mental and behavioural disorders due to use of sedatives or hypnotics: withdrawal state with delirium
Eu180,[X]Mental and behavioural disorders due to use of volatile solvents: acute intoxication
Eu181,[X]Mental and behavioural disorders due to use of volatile solvents: harmful use
Eu18z,[X]Mental and behavioural disorders due to use of volatile solvents: unspecified mental and behavioural disorder
Eu183,[X]Mental and behavioural disorders due to use of volatile solvents: withdrawal state
Eu184,[X]Mental and behavioural disorders due to use of volatile solvents: withdrawal state with delirium
E2300,"Acute alcoholic intoxication, unspecified, in alcoholism"
F11x0,Alcoholic encephalopathy
X00Rt,Anxiolytic dependence
E2432,"Cannabis dependence, episodic"
E243z,Cannabis drug dependence NOS
E2313,Chronic alcoholism in remission
E2423,Cocaine dependence in remission
E2434,Cocaine drug dependence NOS
XaJsy,Did not attend substance misuse clinic
XaPe8,Drug misuse treatment in primary care
XalUQ,Failed heroin detoxification
E246z,Glue sniffing dependence NOS
E245z,Hallucinogen dependence NOS
Xa637,Heroin overdose
XaMfW,History of weekly amphetamine misuse
XaMfG,History of weekly benzodiazepine misuse
E2410,"Hypnotic or anxiolytic dependence, unspecified"
Ub0mz,Inhales drugs
XaJy6,Initial substance misuse assessment
Xabi8,Moderate alcohol dependence
E250z,Nondependent alcohol abuse NOS
XabbR,Novel psychoactive substance misuse
E240z,Opioid drug dependence NOS
X00S2,Opium dependence
XaKUb,Preoccupied with substance misuse
Xaewp,Referral for brief intervention for substance misuse
ZaQE7,Seen in substance misuse clinic
XaNPH,Self referral to substance misuse service
XaXiD,Substance misuse assessment
XaJzj,Substance misuse clinical management plan agreed
XaNH8,Substance misuse treatment not available
Ub0mt,Substance misuser
ZV113,[V]Personal history of alcoholism
XaLWu,[X]Alcohol withdrawal-induced seizure
U209.,[X]Intentional self poisoning by and exposure to alcohol
U2096,"[X]Intentional self poisoning by and exposure to alcohol, occurrence at industrial and construction area"
U209z,"[X]Intentional self poisoning by and exposure to alcohol, occurrence at unspecified place"
U2091,"[X]Intentional self poisoning by and exposure to alcohol, occurrence in residential institution"
U2097,"[X]Intentional self poisoning by and exposure to alcohol, occurrence on farm"
U2094,"[X]Intentional self poisoning by and exposure to alcohol, occurrence on street and highway"
U206.,[X]Intentional self poisoning by and exposure to hallucinogens
U2060,"[X]Intentional self poisoning by and exposure to hallucinogens, occurrence at home"
U206y,"[X]Intentional self poisoning by and exposure to hallucinogens, occurrence at other specified place"
U2062,"[X]Intentional self poisoning by and exposure to hallucinogens, occurrence at school, other institution and public administrative area"
U206z,"[X]Intentional self poisoning by and exposure to hallucinogens, occurrence at unspecified place"
U2061,"[X]Intentional self poisoning by and exposure to hallucinogens, occurrence in residential institution"
U2050,"[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence at home"
U205y,"[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence at other specified place"
U2052,"[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence at school, other institution and public administrative area"
U2053,"[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence at sports and athletics area"
U2055,"[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence at trade and service area"
U2051,"[X]Intentional self poisoning by and exposure to narcotic drugs, occurrence in residential institution"
Eu1..,[X]Mental and behavioural disorders due to psychoactive substance use
Eu10.,[X]Mental and behavioural disorders due to use of alcohol
Eu100,[X]Mental and behavioural disorders due to use of alcohol: acute intoxication
Eu106,[X]Mental and behavioural disorders due to use of alcohol: amnesic syndrome
XE1ZE,[X]Mental and behavioural disorders due to use of alcohol: dependence syndrome
Eu101,[X]Mental and behavioural disorders due to use of alcohol: harmful use
Eu10y,[X]Mental and behavioural disorders due to use of alcohol: other mental and behavioural disorders
XE1ZF,[X]Mental and behavioural disorders due to use of alcohol: psychotic disorder
XE1ZG,[X]Mental and behavioural disorders due to use of alcohol: residual and late-onset psychotic disorder
Eu10z,[X]Mental and behavioural disorders due to use of alcohol: unspecified mental and behavioural disorder
Eu103,[X]Mental and behavioural disorders due to use of alcohol: withdrawal state
Eu104,[X]Mental and behavioural disorders due to use of alcohol: withdrawal state with delirium
Eu12.,[X]Mental and behavioural disorders due to use of cannabinoids
Eu126,[X]Mental and behavioural disorders due to use of cannabinoids: amnesic syndrome
Eu122,[X]Mental and behavioural disorders due to use of cannabinoids: dependence syndrome
Eu125,[X]Mental and behavioural disorders due to use of cannabinoids: psychotic disorder
Eu127,[X]Mental and behavioural disorders due to use of cannabinoids: residual and late-onset psychotic disorder
Eu12z,[X]Mental and behavioural disorders due to use of cannabinoids: unspecified mental and behavioural disorder
Eu123,[X]Mental and behavioural disorders due to use of cannabinoids: withdrawal state
Eu124,[X]Mental and behavioural disorders due to use of cannabinoids: withdrawal state with delirium
Eu14.,[X]Mental and behavioural disorders due to use of cocaine
