V2Codes,Description
ZV4KC,[V] Alcohol use
ZV114,[V] Personal history of psychoactive substuance abuse
ZV57A,[V]Alcohol rehabilitation
Eu55.,[X] Abuse of non-dependence provoking substances
Eu122,[X] Drug addiction - cannabis
Eu152,[X] Drug addiction - other stimulants
Eu132,[X] Drug addiction - sedative/hypnotics
Eu182,[X] Drug addiction - solvent
Eu192,[X] Drug addiction NOS
Eu112,[X] Heroin addiction
U206.,[X] Intentional self poisoning/exposure to hallucinogen
Eu14.,[X] Men & behav disorder due to cocaine use
Eu1A.,[X] Men & behav disorder due to crack cocaine use
Eu16.,[X] Men & behav disorder due to hallucinogen use
Eu14z,[X] Men & behav disorder due to use cocaine unsp men & behav dis
Eu140,[X] Men & behav disorder due to use cocaine: acute intox
Eu146,[X] Men & behav disorder due to use cocaine: amnesic synd
Eu141,[X] Men & behav disorder due to use cocaine: harmfl use
Eu14y,[X] Men & behav disorder due to use cocaine: other men & behav dis
Eu145,[X] Men & behav disorder due to use cocaine: psychotic dis
Eu147,[X] Men & behav disorder due to use cocaine: resid/late psychotic dis
Eu142,[X] Men & behav disorder due to use cocaine:dependence synd
Eu144,[X] Men & behav disorder due to use cocaine:withdr state & delirium
Eu143,[X] Men & behav disorder due to use cocaine:withdrawal state
Eu1Az,[X] Men & behav disorder due to use crack cocaine unsp men & behav dis
Eu1A0,[X] Men & behav disorder due to use crack cocaine: acute intox
Eu1A6,[X] Men & behav disorder due to use crack cocaine: amnesic synd
Eu1A1,[X] Men & behav disorder due to use crack cocaine: harmfl use
Eu1Ay,[X] Men & behav disorder due to use crack cocaine: other men & behav dis
Eu1A5,[X] Men & behav disorder due to use crack cocaine: psychotic dis
Eu1A7,[X] Men & behav disorder due to use crack cocaine: resid/late psychotic dis
Eu1A2,[X] Men & behav disorder due to use crack cocaine:dependence synd
Eu1A4,[X] Men & behav disorder due to use crack cocaine:withdr state & delirium
Eu1A3,[X] Men & behav disorder due to use crack cocaine:withdrawal state
Eu164,[X] Men & behav disorder due to use hallucinogen withdr state & delirium
Eu160,[X] Men & behav disorder due to use hallucinogen: acute intox
Eu166,[X] Men & behav disorder due to use hallucinogen: amnesic synd
Eu161,[X] Men & behav disorder due to use hallucinogen: harmfl use
Eu16y,[X] Men & behav disorder due to use hallucinogen: other men & behav dis
Eu165,[X] Men & behav disorder due to use hallucinogen: psychotic dis
Eu167,[X] Men & behav disorder due to use hallucinogen: resid/late psychotic dis
Eu162,[X] Men & behav disorder due to use hallucinogen:dependence synd
Eu163,[X] Men & behav disorder due to use hallucinogen:withdrawal state
Eu16z,[X] Men & behav disorder due to use hallucinogenunsp men & behav dis
Eu190,[X] Men & behav disorder multi drug use/psychoactive subs: acute intox
Eu19.,[X] Men & behav disorder multi drug use/psychoactive subst
Eu19z,[X] Men & behav disorder multi drug use/psychoactive subst unsp men & behav dis
Eu196,[X] Men & behav disorder multi drug use/psychoactive subst: amnesic synd
Eu191,[X] Men & behav disorder multi drug use/psychoactive subst: harmfl use
Eu19y,[X] Men & behav disorder multi drug use/psychoactive subst: other men & behav dis
Eu195,[X] Men & behav disorder multi drug use/psychoactive subst: psychotic dis
Eu197,[X] Men & behav disorder multi drug use/psychoactive subst: resid/late psychotic dis
Eu194,[X] Men & behav disorder multi drug use/psychoactive subst:withdr state & delirium
Eu193,[X] Men & behav disorder multi drug use/psychoactive subst:withdrawal state
U205.,[X] Overdose - heroin
U730.,[X] Sequl adver effec caus by drug med/bio subs in therap use
Eu108,[X]Alcohol withdrawal-induced seizure
Eu105,[X]Alcoholic hallucinosis
U2060,[X]Int self poison/exposure to hallucinogen at home
U2061,[X]Int self poison/exposure to hallucinogen at res instit
U2062,[X]Int self poison/exposure to hallucinogen at school/pub admin area
U2063,[X]Int self poison/exposure to hallucinogen at sport/athletic area
U2064,[X]Int self poison/exposure to hallucinogen in street/highway
U2066,[X]Int self poison/exposure to hallucinogen insdust/construct area
U2067,[X]Int self poison/exposure to hallucinogen other spec place
U2065,[X]Int self poison/exposure to hallucinogen trade/service area
U206y,[X]Int self poison/exposure to hallucinogen unspec place
U2050,[X]Int self poison/exposure to narcotic drug at home
U2051,[X]Int self poison/exposure to narcotic drug at res instit
U2052,[X]Int self poison/exposure to narcotic drug at school/pub admin area
U2053,[X]Int self poison/exposure to narcotic drug at sport/athletic area
U2054,[X]Int self poison/exposure to narcotic drug in street/highway
U2056,[X]Int self poison/exposure to narcotic drug insdust/construct area
U2057,[X]Int self poison/exposure to narcotic drug other spec place
U2055,[X]Int self poison/exposure to narcotic drug trade/service area
U205y,[X]Int self poison/exposure to narcotic drug unspec place
U209.,[X]Intentional self poisoning by and exposure to alcohol
U2090,[X]Intentional self poisoning by and exposure to alcohol at home
U2096,"[X]Intentional self poisoning by and exposure to alcohol, occurrence at industrial and construction area"
U209y,"[X]Intentional self poisoning by and exposure to alcohol, occurrence at other specified place"
U2092,"[X]Intentional self poisoning by and exposure to alcohol, occurrence at school, other institution and public administrative area"
U2093,"[X]Intentional self poisoning by and exposure to alcohol, occurrence at sports and athletics area"
U2095,"[X]Intentional self poisoning by and exposure to alcohol, occurrence at trade and service area"
U209z,"[X]Intentional self poisoning by and exposure to alcohol, occurrence at unspecified place"
U2091,"[X]Intentional self poisoning by and exposure to alcohol, occurrence in residential institution"
U2097,"[X]Intentional self poisoning by and exposure to alcohol, occurrence on farm"
U2094,"[X]Intentional self poisoning by and exposure to alcohol, occurrence on street and highway"
Eu10.,[X]Mental and behavioural disorders due to use of alcohol
Eu100,[X]Mental and behavioural disorders due to use of alcohol: acute intoxication
Eu106,[X]Mental and behavioural disorders due to use of alcohol: amnesic syndrome
Eu102,[X]Mental and behavioural disorders due to use of alcohol: dependence syndrome
Eu101,[X]Mental and behavioural disorders due to use of alcohol: harmful use
Eu10y,[X]Mental and behavioural disorders due to use of alcohol: other mental and behavioural disorders
Eu107,[X]Mental and behavioural disorders due to use of alcohol: residual and late-onset psychotic disorder
Eu10z,[X]Mental and behavioural disorders due to use of alcohol: unspecified mental and behavioural disorder
Eu103,[X]Mental and behavioural disorders due to use of alcohol: withdrawal state
Eu104,[X]Mental and behavioural disorders due to use of alcohol: withdrawal state with delirium
T8410,Accidental poisoning by cannabis derivatives
T800.,Accidental poisoning by heroin
E230.,Acute alcoholic intoxication in alcoholism
E230z,Acute alcoholic intoxication in alcoholism NOS
E2300,"Acute alcoholic intoxication in alcoholism, unspecified"
E2303,"Acute alcoholic intoxication in remission, in alcoholism"
8Hq..,Admission to substance misuse detoxification centre
8H35.,Admitted to alcohol detoxification centre
66e0.,Alcohol abuse monitoring
E011.,Alcohol amnestic syndrome
E011z,Alcohol amnestic syndrome NOS
E23z.,Alcohol dependence syndrome NOS
8BA8.,Alcohol detoxification
66e..,Alcohol disorder monitoring
1B1c.,Alcohol induced hallucinations
9k12.,Alcohol misuse - enhanced service completed
9k1..,Alcohol misuse - enhanced services administration
E010.,Alcohol withdrawal delirium
E013.,Alcohol withdrawal hallucinosis
E01y0,Alcohol withdrawal syndrome
E015.,Alcoholic paranoia
E01..,Alcoholic psychoses
E01z.,Alcoholic psychosis NOS
E23..,Alcoholism
E244.,Amphetamine or other psychostimulant dependence
E244z,Amphetamine or other psychostimulant dependence NOS
E2441,"Amphetamine or other psychostimulant dependence, continuous"
E2442,"Amphetamine or other psychostimulant dependence, episodic"
E2443,"Amphetamine or other psychostimulant dependence, in remission"
E2440,"Amphetamine or other psychostimulant dependence, unspecified"
E2431,"Cannabis dependence, continuous"
E2432,"Cannabis dependence, episodic"
E2430,"Cannabis dependence, unspecified"
SL960,Cannabis poisoning
E243.,Cannabis type drug dependence
E243z,Cannabis type drug dependence NOS
E0120,Chronic alcoholic brain syndrome
E231.,Chronic alcoholism
E2313,Chronic alcoholism in remission
E231z,Chronic alcoholism NOS
E2421,"Cocaine dependence, continuous"
E2422,"Cocaine dependence, episodic"
E2423,"Cocaine dependence, in remission"
E2420,"Cocaine dependence, unspecified"
E242z,Cocaine drug dependence NOS
SL850,Cocaine poisoning
E242.,Cocaine type drug dependence
E249.,"Combined drug dependence, excluding opioid"
