CTV3Codes,Description
mc5y.,Mupirocin 2% cream
x057k,Bactroban 2% cream
mc52.,Bactroban 2% cream 15g
mc5z.,Mupirocin 2% ointment
x00WZ,Bactroban ointment
mc51.,Bactroban 2% ointment 15g
la1y.,Mupirocin 2% nasal ointment
x02Kd,Bactroban 2% nasal ointment
la1a.,Bactroban Nasal 2% nose ointment 3g
la1b.,Muciprocin Nasal 2% nose ointment 3g
mc9..,Silver sulphadiazine
mc9z.,Silver sulfadiazine 1% cream
x00GX,Flamazine 1% cream
mc91.,Flamazine 1% cream 50g
mc92.,Flamazine 1% cream 250g
mc93.,Flamazine 1% cream 500g
mc94.,Flamazine 1% cream 20g
eb4y.,Fusidic acid 250mg/5mL suspension
eb42.,Fucidin 250mg/5mL suspension
x01Hh,Topical fusidic acid
x01Hi,Fusidic acid 2% caviject
x01Hj,Fucidin 2% Caviject
md25.,Fucidin 2% caviject 7g
md2x.,Fusidic acid 2% caviject 7g
md2v.,Fusidic acid 2% cream
x00GZ,Fucidin cream
md21.,Fucidin 2% cream 15g
md22.,Fucidin 2% cream 30g
md2w.,Fusidic acid 2% gel
x00Mn,Fucidin gel
md23.,Fucidin 2% gel 15g
md24.,Fucidin 2% gel 30g
md2z.,Sodium fusidate 2% ointment
x00Wz,Fucidin ointment
md27.,Fucidin 2% ointment 15g
md28.,Fucidin 2% ointment 30g
x001N,Betamethasone+fusidic acid
m49v.,Betamethasone+fusidic acid 0.1/2% cream
x00GY,Fucibet cream
m49c.,Fucibet cream 15g
m49d.,Fucibet cream 30g
m49e.,Fucibet cream 60g
m49f.,FUCIBET LIPID cream 30g
m45V.,Hydrocortisone acetate+fusidic acid 1%/2% cream
x00Ga,Fucidin H cream
m457.,Fucidin-H cream 15g
m458.,Fucidin-H cream 30g
m45A.,Fucidin-H cream 60g
m45U.,Hydrocortisone acetate+fusidic acid 1%/2% gel
x00Mo,Fucidin H gel
m459.,Fucidin-H gel 15g
m45a.,Fucidin-H gel 30g
meg1.,Metronidazole gel
meg8.,Metronidazole 0.75% gel
x05hh,Acea 0.75% gel
megI.,Acea 0.75% gel 40g
x02SD,Anabact 0.75% gel
meg6.,Anabact 0.75% gel 15g
meg7.,Anabact 0.75% gel 30g
x027r,Metrogel 0.75% gel
meg3.,Metrogel 0.75% gel 40g
x05lH,Metrosa 0.75% gel
megJ.,Metrosa 0.75% gel 40g
megK.,Metrosa 0.75% gel 30g
x0533,Neutratop 0.75% gel
megE.,Neutratop 0.75% gel 10g
megF.,Neutratop 0.75% gel 20g
meg5.,Rozex 0.75% gel
x054t,Zyomet 0.75% gel
megG.,Zyomet 0.75% gel 30g
megu.,Metronidazole 0.75% gel 30g
megw.,Metronidazole 0.75% gel 15g
megz.,Metronidazole 0.75% gel 40g
meg9.,Metronidazole 0.8% gel
x00N0,Metrotop 0.8% gel
meg2.,Metrotop 0.8% gel 30g
meg4.,Metrotop 0.8% gel 15g
megH.,Metrotop 0.8% gel 60g
megx.,Metronidazole 0.8% gel 15g
megy.,Metronidazole 0.8% gel 30g
g531.,Metronidazole 0.75% vaginal gel
x03pc,Zidoval 0.75% vaginal gel
g532.,Zidoval 0.75% vaginal gel 40g
lcA2.,Metronidazole benzoate 25% dental gel
lcA1.,Elyzol 25% dental gel
lcA3.,Elyzol 25% dental gel 1g
lcA4.,Elyzol 25% dental gel 0.3g
x01HL,Topical neomycin
x01HM,Mycifradin powder
e852.,Mycifradin powder 500mg
mc61.,Neomycin 0.5% cream BPC
x027a,Neomycin 0.5% ointment
x01HN,Myciguent ointment
mc67.,Myciguent ointment 28.4g
mc62.,Neomycin 0.5% ointment 15g
mc63.,Neomycin 0.5% ointment 28g
k39z.,Neomycin sulphate 0.5% (3500units/g) eye ointment
x02Ai,Myciguent eye ointment
k394.,Myciguent eye ointment 3.9g
l36y.,Neomycin ear ointment
x01HO,Graneodin eye ointment
k392.,Graneodin eye ointment 3.6g
x00Lg,Neo-Cortef eye/ear ointment
k66A.,Neo-Cortef eye ointment
l364.,Neo-Cortef ear ointment 3.9g
m4gq.,Fluocinolone acetonide+neomycin sulphate 0.025%/0.5% cream
x01Mx,Synalar N 0.025% cream
m4ge.,Synalar N 0.025% cream 15g
m4gf.,Synalar N 0.025% cream 30g
m4gr.,Fluocinolone acetonide+neomycin sulphate 0.025%/0.5% ointment
x01Mw,Synalar N 0.025% ointment
m4gg.,Synalar N 0.025% ointment 15g
m4gh.,Synalar N 0.025% ointment 30g
x00Fr,Cicatrin cream
mc64.,Cicatrin cream 15g
mc65.,Cicatrin cream 30g
x00II,Cicatrin dusting powder
mc68.,Cicatrin powder 15g
mc69.,Cicatrin powder 50g
x027b,Cicatrin powder spray
mc6a.,Cicatrin spray 103g
x027e,Graneodin ointment
mc66.,Graneodin ointment 15g
mc6d.,Graneodin ointment 25g
x027c,Polybactrin powder spray
mc6b.,Polybactrin spray 109g
mc6c.,Tribiotic spray 110g
x027d,Tribiotic spray
mc6..,Neomycin sulphate [skin]
x00BX,Triamcinolone+neomycin
m4nc.,Silderm cream
x00FK,Adcortyl+Graneodin cream
m4n7.,Adcortyl+graneodin cream 25g
m4n8.,Adcortyl+Graneodin ointment
m49x.,Betamethasone+neomycin sulphate 0.1/0.5% cream
x00Fc,Betnovate N cream
