CTV3Codes,Description
A70z0,Hepatitis C
XaZ5P,Hepatitis C genotype 1
XaZ5Q,Hepatitis C genotype 2
XaZ5S,Hepatitis C genotype 3
XaZ5T,Hepatitis C genotype 4
XaZ5U,Hepatitis C genotype 5
XaZ5V,Hepatitis C genotype 6
X306e,Acute hepatitis C
X306k,Chronic viral hepatitis C
Xa0v0,Hepatitis C immune
XagSW,History of hepatitis C
XaXBp,Hepatitis C PCR positive
A7040,Viral hepatitis C with coma
XaYbh,Hepatitis C antigen positive
XaZDE,On hepatitis C treatment plan
XaPLl,Hepatitis C screening positive - enhanced services administration
A7050,Viral hepatitis C without mention of hepatic coma
Xa0ty,Congenital hepatitis C infection
